,total_up_cost,fixed_cap_inv_unadjusted,fixed_cap_inv,total_fixed_op_cost,total_cap_investment,land_cost,working_cap,catalysts_chemicals,cap_replacement_parts,salaries,benefits,maintenance,lab,insurance_taxes,base_employee_salary_cost,cat_and_chem_cost,labor_and_other_fixed,consumer_price_index,electricity_cost,other_var_cost
swoi,23.36602641172056,20.30878394135631,20.98030530259652,1.3052353860403219,22.06079102568024,0.03147045795389478,1.0490152651298261,1.0453142293148077,1.033065562329054,0.5434165353192458,0.4890748817873213,0.16784244242077218,0.06294091590778957,0.041960610605193044,0.02030878394135631,0.0,1.032157729945335,1.0345822112412675,1.9846379165436712,-1.9846379165436712
coag_floc,14.21137321157784,11.765810241755144,11.765810241872803,0.732487802245148,12.371749469329252,0.017648715362809205,0.5882905120936401,1.00000000001,1.00000000001,0.305016983737264,0.2745152853635376,0.09412648193498242,0.03529743072561841,0.023531620483745606,0.011765810241755143,1.0087274162406237,1.00000000001,1.00000000001,0.09840852376281799,0.0
tri_media_filtration,42.35423210804329,11.748013146295584,12.751177796675035,24.703292914802727,13.4078634532038,0.019126766695012554,0.6375588898337519,1.0948846182937026,1.0853901538828097,12.914488212339975,11.623039391105978,0.10200942237340029,0.03825353339002511,0.02550235559335007,0.011748013146295585,0.0,1.1442891511055095,1.1041413025155016,4.243075740036766,0.0
SAA,0.7168792202834147,0.3513795859039242,0.4181866948154389,0.027076749477827948,0.43972330959843403,0.0006272800422231584,0.020909334740771945,1.4497931099098118,1.1901280313130695,0.011389643392224865,0.010250679053002379,0.0033454935585235115,0.0012545600844463167,0.0008363733896308779,0.0003513795859039242,0.25006807967009737,1.2552151402432885,1.260734425014082,1.1081537055368072e-05,0.0
SBA,1.2175901406857728,0.35181629705138023,0.4187064369936132,0.02711025007034772,0.44026981849878427,0.0006280596554904198,0.020935321849680662,1.4497931099098118,1.1901280313130695,0.011403719152331975,0.010263347237098777,0.0033496514959489056,0.0012561193109808396,0.0008374128739872264,0.00035181629705138026,0.750196736967902,1.2552151402432885,1.260734425014082,1.3335148738807824e-05,0.0
cf,13.380566057903298,11.044251584685686,11.98732192702246,0.775897051639182,12.604669006264116,0.01798098289053369,0.599366096351123,1.0948846182937026,1.0853901538828097,0.3263483508357316,0.2937135157521584,0.09589857541617969,0.03596196578106738,0.023974643854044922,0.011044251584685687,0.0,1.1442891511055095,1.1041413025155016,0.0,0.0
ro,330.1512751203201,223.11588598116077,265.5364701374302,17.192665134368287,279.2115983495078,0.39830470520614525,13.276823506871509,1.4497931099098118,1.1901280313130695,7.231942643464049,6.508748379117645,2.1242917610994416,0.7966094104122905,0.5310729402748604,0.22311588598116078,0.0,1.2552151402432885,1.260734425014082,33.747011636444,0.0
lime,58.86326081903539,52.909212727170015,52.909212727699106,2.3445549317757357,55.63403718317561,0.07936381909154866,2.6454606363849553,1.00000000001,1.00000000001,0.8719658770082355,0.784769289307412,0.42327370182159285,0.15872763818309732,0.10581842545539821,0.052909212727170016,0.7831995268148274,1.00000000001,1.00000000001,0.10146917726922292,0.0
co2,8.617171813378992,7.646859855289311,7.771227571634351,0.34425785922802066,8.17144579157352,0.011656841357451526,0.3885613785817176,1.0221551430412668,1.016263893767978,0.12801678989303902,0.11521511090373512,0.06216982057307481,0.023313682714903052,0.015542455143268703,0.0076468598552893105,0.0,1.0158244261611524,1.0169972051511103,0.10146816257745021,0.0
chlor,10.469047400765668,8.699167753253843,9.441991026356565,0.434440425298944,9.928253564213929,0.014162986539534848,0.47209955131782827,1.0948846182937026,1.0853901538828097,0.16404975892437296,0.14764478303193568,0.07553592821085252,0.028325973079069696,0.01888398205271313,0.008699167753253842,0.004886263356970726,1.1442891511055095,1.1041413025155016,0.10146714789582445,0.0
ammonia,0.8710053573690554,0.6668177238442861,0.7935984649234622,0.0365250271524596,0.8344687858670204,0.0011903976973851934,0.039679923246173116,1.4497931099098118,1.1901280313130695,0.013793814267607677,0.012414432840846909,0.006348787719387698,0.0023807953947703867,0.0015871969298469244,0.000666817723844286,0.0,1.2552151402432885,1.260734425014082,1.1544349575285902e-05,0.0
TWS_24_hr,13.27153601568671,9.709731405273265,12.152581421988522,0.4930966504657784,12.778439365220931,0.018228872132982785,0.6076290710994261,1.4976775368123207,1.251587805548212,0.20186374906780757,0.18167737416102683,0.048792620127001335,0.03645774426596557,0.024305162843977046,0.009758524025400266,0.0,1.2552151402432885,1.2963801900070397,0.0,0.0
muni,7.920273094535757,4.3833597054989415,4.383359705542775,0.19423410246394385,4.609102730378227,0.006575039558314163,0.21916798527713877,1.00000000001,1.00000000001,0.07223706646941462,0.06501335982247317,0.0350668776443422,0.013150079116628325,0.00876671941108555,0.004383359705498941,0.0,1.00000000001,1.00000000001,3.116936261693586,0.0
