,Case Study,Scenario,Unit Process Name,Variable,Unit,Value,model,Metric
77,Carlsbad,Baseline,tri_media_filtration,Base_Employee_Salary_Cost,$MM/yr,0.0055,Excel,
78,Carlsbad,Baseline,tri_media_filtration,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
79,Carlsbad,Baseline,tri_media_filtration,Basis_Year,,2014,Excel,
80,Carlsbad,Baseline,tri_media_filtration,Capital_and_Replacement_Parts,,1.085390154,Excel,
81,Carlsbad,Baseline,tri_media_filtration,Catalysts_and_Chemicals,,1.094884618,Excel,
82,Carlsbad,Baseline,tri_media_filtration,Labor_and_Other_Fixed_Costs,,1.143861925,Excel,
83,Carlsbad,Baseline,tri_media_filtration,Consumer_Price_Index,,1.102458561,Excel,
84,Carlsbad,Baseline,tri_media_filtration,Grid_Electricity,kWh,0.1981,Excel,
85,Carlsbad,Baseline,tri_media_filtration,Inlet Water,m3/hr,18232,Excel,
86,Carlsbad,Baseline,tri_media_filtration,Outlet Water,m3/hr,16409,Excel,
87,Carlsbad,Baseline,sulfuric_acid_addition,Fixed Capital Investment (FCI),$MM,0.373431154,Excel,
88,Carlsbad,Baseline,sulfuric_acid_addition,Land_Cost,$MM,0.000560147,Excel,
89,Carlsbad,Baseline,sulfuric_acid_addition,Working Capital,$MM,0.018671558,Excel,
90,Carlsbad,Baseline,sulfuric_acid_addition,Total Capital Investment (TCI),$MM,0.392662858,Excel,
91,Carlsbad,Baseline,sulfuric_acid_addition,Catalysts and Chemicals,$MM/yr,0.172489724,Excel,
92,Carlsbad,Baseline,sulfuric_acid_addition,Electricity,$MM/yr,1.11E-05,Excel,
93,Carlsbad,Baseline,sulfuric_acid_addition,Fuel and Other Utilities,$MM/yr,0,Excel,
94,Carlsbad,Baseline,sulfuric_acid_addition,Replacement Parts,$MM/yr,0,Excel,
95,Carlsbad,Baseline,sulfuric_acid_addition,Other Operating Costs,$MM/yr,0,Excel,
96,Carlsbad,Baseline,sulfuric_acid_addition,Total Variable Operating Costs,$MM/yr,0.172500797,Excel,
97,Carlsbad,Baseline,sulfuric_acid_addition,Employee Salaries,$MM/yr,0.000410902,Excel,
98,Carlsbad,Baseline,sulfuric_acid_addition,Benefits,$MM/yr,0.000369812,Excel,
99,Carlsbad,Baseline,sulfuric_acid_addition,Maintenance,$MM/yr,0.002987449,Excel,
100,Carlsbad,Baseline,sulfuric_acid_addition,Laboratory,$MM/yr,0.000995816,Excel,
101,Carlsbad,Baseline,sulfuric_acid_addition,Insurance and Taxes,$MM/yr,0.000697071,Excel,
102,Carlsbad,Baseline,sulfuric_acid_addition,Total Fixed Operating Costs,$MM/yr,0.00546105,Excel,
103,Carlsbad,Baseline,sulfuric_acid_addition,Capacity_Basis_for_Fixed_Capital_Cost,,10000,Excel,
104,Carlsbad,Baseline,sulfuric_acid_addition,Base_Fixed_Capital_Cost,$MM,0.231057593,Excel,
105,Carlsbad,Baseline,sulfuric_acid_addition,Capital_Scaling_Exponent,,0.6179,Excel,
106,Carlsbad,Baseline,sulfuric_acid_addition,Base_Employee_Salary_Cost,$MM/yr,0.000231058,Excel,
107,Carlsbad,Baseline,sulfuric_acid_addition,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
108,Carlsbad,Baseline,sulfuric_acid_addition,Basis_Year,,2007,Excel,
109,Carlsbad,Baseline,sulfuric_acid_addition,Capital_and_Replacement_Parts,,1.190128031,Excel,
110,Carlsbad,Baseline,sulfuric_acid_addition,Catalysts_and_Chemicals,,1.44979311,Excel,
111,Carlsbad,Baseline,sulfuric_acid_addition,Labor_and_Other_Fixed_Costs,,1.257370474,Excel,
112,Carlsbad,Baseline,sulfuric_acid_addition,Consumer_Price_Index,,1.258749457,Excel,
113,Carlsbad,Baseline,sulfuric_acid_addition,Grid_Electricity,kWh,0,Excel,
114,Carlsbad,Baseline,sulfuric_acid_addition,Inlet Water,m3/hr,16409,Excel,
115,Carlsbad,Baseline,sulfuric_acid_addition,Outlet Water,m3/hr,16409,Excel,
116,Carlsbad,Baseline,sodium_bisulfite_addition,Fixed Capital Investment (FCI),$MM,0.418717586,Excel,
117,Carlsbad,Baseline,sodium_bisulfite_addition,Land_Cost,$MM,0.000628076,Excel,
118,Carlsbad,Baseline,sodium_bisulfite_addition,Working Capital,$MM,0.020935879,Excel,
119,Carlsbad,Baseline,sodium_bisulfite_addition,Total Capital Investment (TCI),$MM,0.440281542,Excel,
120,Carlsbad,Baseline,sodium_bisulfite_addition,Catalysts and Chemicals,$MM/yr,0.517469171,Excel,
121,Carlsbad,Baseline,sodium_bisulfite_addition,Electricity,$MM/yr,1.33E-05,Excel,
122,Carlsbad,Baseline,sodium_bisulfite_addition,Fuel and Other Utilities,$MM/yr,0,Excel,
123,Carlsbad,Baseline,sodium_bisulfite_addition,Replacement Parts,$MM/yr,0,Excel,
124,Carlsbad,Baseline,sodium_bisulfite_addition,Other Operating Costs,$MM/yr,0,Excel,
125,Carlsbad,Baseline,sodium_bisulfite_addition,Total Variable Operating Costs,$MM/yr,0.517482498,Excel,
126,Carlsbad,Baseline,sodium_bisulfite_addition,Employee Salaries,$MM/yr,0.000460732,Excel,
127,Carlsbad,Baseline,sodium_bisulfite_addition,Benefits,$MM/yr,0.000414659,Excel,
128,Carlsbad,Baseline,sodium_bisulfite_addition,Maintenance,$MM/yr,0.003349741,Excel,
129,Carlsbad,Baseline,sodium_bisulfite_addition,Laboratory,$MM/yr,0.00111658,Excel,
130,Carlsbad,Baseline,sodium_bisulfite_addition,Insurance and Taxes,$MM/yr,0.000781606,Excel,
131,Carlsbad,Baseline,sodium_bisulfite_addition,Total Fixed Operating Costs,$MM/yr,0.006123318,Excel,
132,Carlsbad,Baseline,sodium_bisulfite_addition,Capacity_Basis_for_Fixed_Capital_Cost,,10000,Excel,
133,Carlsbad,Baseline,sodium_bisulfite_addition,Base_Fixed_Capital_Cost,$MM,0.259078217,Excel,
134,Carlsbad,Baseline,sodium_bisulfite_addition,Capital_Scaling_Exponent,,0.6179,Excel,
135,Carlsbad,Baseline,sodium_bisulfite_addition,Base_Employee_Salary_Cost,$MM/yr,0.000259078,Excel,
136,Carlsbad,Baseline,sodium_bisulfite_addition,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
137,Carlsbad,Baseline,sodium_bisulfite_addition,Basis_Year,,2007,Excel,
138,Carlsbad,Baseline,sodium_bisulfite_addition,Capital_and_Replacement_Parts,,1.190128031,Excel,
139,Carlsbad,Baseline,sodium_bisulfite_addition,Catalysts_and_Chemicals,,1.44979311,Excel,
140,Carlsbad,Baseline,sodium_bisulfite_addition,Labor_and_Other_Fixed_Costs,,1.257370474,Excel,
141,Carlsbad,Baseline,sodium_bisulfite_addition,Consumer_Price_Index,,1.258749457,Excel,
142,Carlsbad,Baseline,sodium_bisulfite_addition,Grid_Electricity,kWh,0,Excel,
143,Carlsbad,Baseline,sodium_bisulfite_addition,Inlet Water,m3/hr,16409,Excel,
144,Carlsbad,Baseline,sodium_bisulfite_addition,Outlet Water,m3/hr,16409,Excel,
145,Carlsbad,Baseline,cartridge_filtration,Fixed Capital Investment (FCI),$MM,12.37452897,Excel,
146,Carlsbad,Baseline,cartridge_filtration,Land_Cost,$MM,0.018561793,Excel,
147,Carlsbad,Baseline,cartridge_filtration,Working Capital,$MM,0.618726449,Excel,
148,Carlsbad,Baseline,cartridge_filtration,Total Capital Investment (TCI),$MM,13.01181721,Excel,
149,Carlsbad,Baseline,cartridge_filtration,Catalysts and Chemicals,$MM/yr,0,Excel,
150,Carlsbad,Baseline,cartridge_filtration,Electricity,$MM/yr,0,Excel,
151,Carlsbad,Baseline,cartridge_filtration,Fuel and Other Utilities,$MM/yr,0,Excel,
152,Carlsbad,Baseline,cartridge_filtration,Replacement Parts,$MM/yr,0.143741436,Excel,
153,Carlsbad,Baseline,cartridge_filtration,Other Operating Costs,$MM/yr,0,Excel,
154,Carlsbad,Baseline,cartridge_filtration,Total Variable Operating Costs,$MM/yr,0.143741436,Excel,
155,Carlsbad,Baseline,cartridge_filtration,Employee Salaries,$MM/yr,0.015023622,Excel,
156,Carlsbad,Baseline,cartridge_filtration,Benefits,$MM/yr,0.013521259,Excel,
157,Carlsbad,Baseline,cartridge_filtration,Maintenance,$MM/yr,0.098996232,Excel,
158,Carlsbad,Baseline,cartridge_filtration,Laboratory,$MM/yr,0.032998744,Excel,
159,Carlsbad,Baseline,cartridge_filtration,Insurance and Taxes,$MM/yr,0.023099121,Excel,
160,Carlsbad,Baseline,cartridge_filtration,Total Fixed Operating Costs,$MM/yr,0.183638978,Excel,
161,Carlsbad,Baseline,cartridge_filtration,Capacity_Basis_for_Fixed_Capital_Cost,,4731.764235,Excel,
162,Carlsbad,Baseline,cartridge_filtration,Base_Fixed_Capital_Cost,$MM,5.5,Excel,
163,Carlsbad,Baseline,cartridge_filtration,Capital_Scaling_Exponent,,0.5862,Excel,
164,Carlsbad,Baseline,cartridge_filtration,Base_Employee_Salary_Cost,$MM/yr,0.0055,Excel,
165,Carlsbad,Baseline,cartridge_filtration,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
166,Carlsbad,Baseline,cartridge_filtration,Basis_Year,,2014,Excel,
167,Carlsbad,Baseline,cartridge_filtration,Capital_and_Replacement_Parts,,1.085390154,Excel,
168,Carlsbad,Baseline,cartridge_filtration,Catalysts_and_Chemicals,,1.094884618,Excel,
169,Carlsbad,Baseline,cartridge_filtration,Labor_and_Other_Fixed_Costs,,1.143861925,Excel,
170,Carlsbad,Baseline,cartridge_filtration,Consumer_Price_Index,,1.102458561,Excel,
171,Carlsbad,Baseline,cartridge_filtration,Grid_Electricity,kWh,0,Excel,
172,Carlsbad,Baseline,cartridge_filtration,Inlet Water,m3/hr,16409,Excel,
173,Carlsbad,Baseline,cartridge_filtration,Outlet Water,m3/hr,16409,Excel,
174,Carlsbad,Baseline,ro_deep,Fixed Capital Investment (FCI),$MM,265.5470507,Excel,
175,Carlsbad,Baseline,ro_deep,Land_Cost,$MM,0.398320576,Excel,
176,Carlsbad,Baseline,ro_deep,Working Capital,$MM,13.27735254,Excel,
177,Carlsbad,Baseline,ro_deep,Total Capital Investment (TCI),$MM,279.2227238,Excel,
178,Carlsbad,Baseline,ro_deep,Catalysts and Chemicals,$MM/yr,0,Excel,
179,Carlsbad,Baseline,ro_deep,Electricity,$MM/yr,31.73089461,Excel,
180,Carlsbad,Baseline,ro_deep,Fuel and Other Utilities,$MM/yr,0,Excel,
181,Carlsbad,Baseline,ro_deep,Replacement Parts,$MM/yr,2.874828729,Excel,
182,Carlsbad,Baseline,ro_deep,Other Operating Costs,$MM/yr,0,Excel,
183,Carlsbad,Baseline,ro_deep,Total Variable Operating Costs,$MM/yr,34.60572334,Excel,
184,Carlsbad,Baseline,ro_deep,Employee Salaries,$MM/yr,0.276953028,Excel,
185,Carlsbad,Baseline,ro_deep,Benefits,$MM/yr,0.249257725,Excel,
186,Carlsbad,Baseline,ro_deep,Maintenance,$MM/yr,2.124376406,Excel,
187,Carlsbad,Baseline,ro_deep,Laboratory,$MM/yr,0.708125469,Excel,
188,Carlsbad,Baseline,ro_deep,Insurance and Taxes,$MM/yr,0.495687828,Excel,
189,Carlsbad,Baseline,ro_deep,Total Fixed Operating Costs,$MM/yr,3.854400455,Excel,
190,Carlsbad,Baseline,ro_deep,Capacity_Basis_for_Fixed_Capital_Cost,,7914.33892,Excel,
191,Carlsbad,Baseline,ro_deep,Base_Fixed_Capital_Cost,$MM,132.2143513,Excel,
192,Carlsbad,Baseline,ro_deep,Capital_Scaling_Exponent,,0.7177,Excel,
193,Carlsbad,Baseline,ro_deep,Base_Employee_Salary_Cost,$MM/yr,0.132214351,Excel,
194,Carlsbad,Baseline,ro_deep,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
195,Carlsbad,Baseline,ro_deep,Basis_Year,,2007,Excel,
196,Carlsbad,Baseline,ro_deep,Capital_and_Replacement_Parts,,1.190128031,Excel,
197,Carlsbad,Baseline,ro_deep,Catalysts_and_Chemicals,,1.44979311,Excel,
198,Carlsbad,Baseline,ro_deep,Labor_and_Other_Fixed_Costs,,1.257370474,Excel,
199,Carlsbad,Baseline,ro_deep,Consumer_Price_Index,,1.258749457,Excel,
200,Carlsbad,Baseline,ro_deep,Grid_Electricity,kWh,1.6474,Excel,
201,Carlsbad,Baseline,ro_deep,Inlet Water,m3/hr,16409,Excel,
202,Carlsbad,Baseline,ro_deep,Outlet Water,m3/hr,8639,Excel,
203,Carlsbad,Baseline,lime_softening,Fixed Capital Investment (FCI),$MM,51.96081587,Excel,
204,Carlsbad,Baseline,lime_softening,Land_Cost,$MM,0.077941224,Excel,
205,Carlsbad,Baseline,lime_softening,Working Capital,$MM,2.598040794,Excel,
206,Carlsbad,Baseline,lime_softening,Total Capital Investment (TCI),$MM,54.63679789,Excel,
207,Carlsbad,Baseline,lime_softening,Catalysts and Chemicals,$MM/yr,0.78324286,Excel,
208,Carlsbad,Baseline,lime_softening,Electricity,$MM/yr,0.101405356,Excel,
209,Carlsbad,Baseline,lime_softening,Fuel and Other Utilities,$MM/yr,0,Excel,
210,Carlsbad,Baseline,lime_softening,Replacement Parts,$MM/yr,0,Excel,
211,Carlsbad,Baseline,lime_softening,Other Operating Costs,$MM/yr,0,Excel,
212,Carlsbad,Baseline,lime_softening,Total Variable Operating Costs,$MM/yr,0.884648215,Excel,
213,Carlsbad,Baseline,lime_softening,Employee Salaries,$MM/yr,0.049326049,Excel,
214,Carlsbad,Baseline,lime_softening,Benefits,$MM/yr,0.044393444,Excel,
215,Carlsbad,Baseline,lime_softening,Maintenance,$MM/yr,0.415686527,Excel,
216,Carlsbad,Baseline,lime_softening,Laboratory,$MM/yr,0.138562176,Excel,
217,Carlsbad,Baseline,lime_softening,Insurance and Taxes,$MM/yr,0.096993523,Excel,
218,Carlsbad,Baseline,lime_softening,Total Fixed Operating Costs,$MM/yr,0.744961719,Excel,
219,Carlsbad,Baseline,lime_softening,Capacity_Basis_for_Fixed_Capital_Cost,,1577.25491,Excel,
220,Carlsbad,Baseline,lime_softening,Base_Fixed_Capital_Cost,$MM,15,Excel,
221,Carlsbad,Baseline,lime_softening,Capital_Scaling_Exponent,,0.7306,Excel,
222,Carlsbad,Baseline,lime_softening,Base_Employee_Salary_Cost,$MM/yr,0.015,Excel,
223,Carlsbad,Baseline,lime_softening,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
224,Carlsbad,Baseline,lime_softening,Basis_Year,,2020,Excel,
225,Carlsbad,Baseline,lime_softening,Capital_and_Replacement_Parts,,1,Excel,
226,Carlsbad,Baseline,lime_softening,Catalysts_and_Chemicals,,1,Excel,
227,Carlsbad,Baseline,lime_softening,Labor_and_Other_Fixed_Costs,,1,Excel,
228,Carlsbad,Baseline,lime_softening,Consumer_Price_Index,,1,Excel,
229,Carlsbad,Baseline,lime_softening,Grid_Electricity,kWh,0.01,Excel,
230,Carlsbad,Baseline,lime_softening,Inlet Water,m3/hr,8639,Excel,
231,Carlsbad,Baseline,lime_softening,Outlet Water,m3/hr,8639,Excel,
232,Carlsbad,Baseline,co2_addition,Fixed Capital Investment (FCI),$MM,7.767103773,Excel,
233,Carlsbad,Baseline,co2_addition,Land_Cost,$MM,0.011650656,Excel,
234,Carlsbad,Baseline,co2_addition,Working Capital,$MM,0.388355189,Excel,
235,Carlsbad,Baseline,co2_addition,Total Capital Investment (TCI),$MM,8.167109618,Excel,
236,Carlsbad,Baseline,co2_addition,Catalysts and Chemicals,$MM/yr,0,Excel,
237,Carlsbad,Baseline,co2_addition,Electricity,$MM/yr,0.101405356,Excel,
238,Carlsbad,Baseline,co2_addition,Fuel and Other Utilities,$MM/yr,0,Excel,
239,Carlsbad,Baseline,co2_addition,Replacement Parts,$MM/yr,0,Excel,
240,Carlsbad,Baseline,co2_addition,Other Operating Costs,$MM/yr,0,Excel,
241,Carlsbad,Baseline,co2_addition,Total Variable Operating Costs,$MM/yr,0.101405356,Excel,
242,Carlsbad,Baseline,co2_addition,Employee Salaries,$MM/yr,0.007763773,Excel,
243,Carlsbad,Baseline,co2_addition,Benefits,$MM/yr,0.006987396,Excel,
244,Carlsbad,Baseline,co2_addition,Maintenance,$MM/yr,0.06213683,Excel,
245,Carlsbad,Baseline,co2_addition,Laboratory,$MM/yr,0.020712277,Excel,
246,Carlsbad,Baseline,co2_addition,Insurance and Taxes,$MM/yr,0.014498594,Excel,
247,Carlsbad,Baseline,co2_addition,Total Fixed Operating Costs,$MM/yr,0.11209887,Excel,
248,Carlsbad,Baseline,co2_addition,Capacity_Basis_for_Fixed_Capital_Cost,,2271.246833,Excel,
249,Carlsbad,Baseline,co2_addition,Base_Fixed_Capital_Cost,$MM,3,Excel,
250,Carlsbad,Baseline,co2_addition,Capital_Scaling_Exponent,,0.7,Excel,
251,Carlsbad,Baseline,co2_addition,Base_Employee_Salary_Cost,$MM/yr,0.003,Excel,
252,Carlsbad,Baseline,co2_addition,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
253,Carlsbad,Baseline,co2_addition,Basis_Year,,2019,Excel,
254,Carlsbad,Baseline,co2_addition,Capital_and_Replacement_Parts,,1.016263894,Excel,
255,Carlsbad,Baseline,co2_addition,Catalysts_and_Chemicals,,1.022155143,Excel,
256,Carlsbad,Baseline,co2_addition,Labor_and_Other_Fixed_Costs,,1.015828148,Excel,
257,Carlsbad,Baseline,co2_addition,Consumer_Price_Index,,1.020866356,Excel,
258,Carlsbad,Baseline,co2_addition,Grid_Electricity,kWh,0.01,Excel,
259,Carlsbad,Baseline,co2_addition,Inlet Water,m3/hr,8639,Excel,
260,Carlsbad,Baseline,co2_addition,Outlet Water,m3/hr,8639,Excel,
261,Carlsbad,Baseline,chlorination_twb,Fixed Capital Investment (FCI),$MM,3.530539282,Excel,
262,Carlsbad,Baseline,chlorination_twb,Land_Cost,$MM,0.005295809,Excel,
263,Carlsbad,Baseline,chlorination_twb,Working Capital,$MM,0.176526964,Excel,
264,Carlsbad,Baseline,chlorination_twb,Total Capital Investment (TCI),$MM,3.712362055,Excel,
265,Carlsbad,Baseline,chlorination_twb,Catalysts and Chemicals,$MM/yr,0.257297171,Excel,
266,Carlsbad,Baseline,chlorination_twb,Electricity,$MM/yr,5.77E-05,Excel,
267,Carlsbad,Baseline,chlorination_twb,Fuel and Other Utilities,$MM/yr,0,Excel,
268,Carlsbad,Baseline,chlorination_twb,Replacement Parts,$MM/yr,0,Excel,
269,Carlsbad,Baseline,chlorination_twb,Other Operating Costs,$MM/yr,0,Excel,
270,Carlsbad,Baseline,chlorination_twb,Total Variable Operating Costs,$MM/yr,0.257354859,Excel,
271,Carlsbad,Baseline,chlorination_twb,Employee Salaries,$MM/yr,0.00365016,Excel,
272,Carlsbad,Baseline,chlorination_twb,Benefits,$MM/yr,0.003285144,Excel,
273,Carlsbad,Baseline,chlorination_twb,Maintenance,$MM/yr,0.028244314,Excel,
274,Carlsbad,Baseline,chlorination_twb,Laboratory,$MM/yr,0.009414771,Excel,
275,Carlsbad,Baseline,chlorination_twb,Insurance and Taxes,$MM/yr,0.00659034,Excel,
276,Carlsbad,Baseline,chlorination_twb,Total Fixed Operating Costs,$MM/yr,0.051184729,Excel,
277,Carlsbad,Baseline,chlorination_twb,Capacity_Basis_for_Fixed_Capital_Cost,,10000,Excel,
278,Carlsbad,Baseline,chlorination_twb,Base_Fixed_Capital_Cost,$MM,3.216119827,Excel,
279,Carlsbad,Baseline,chlorination_twb,Capital_Scaling_Exponent,,0.5521,Excel,
280,Carlsbad,Baseline,chlorination_twb,Base_Employee_Salary_Cost,$MM/yr,0.00321612,Excel,
281,Carlsbad,Baseline,chlorination_twb,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
282,Carlsbad,Baseline,chlorination_twb,Basis_Year,,2007,Excel,
283,Carlsbad,Baseline,chlorination_twb,Capital_and_Replacement_Parts,,1.190128031,Excel,
284,Carlsbad,Baseline,chlorination_twb,Catalysts_and_Chemicals,,1.44979311,Excel,
285,Carlsbad,Baseline,chlorination_twb,Labor_and_Other_Fixed_Costs,,1.257370474,Excel,
