,Case Study,Scenario,Unit Process Name,Variable,Unit,Value,model,Metric
0,Carlsbad,Baseline,sw_onshore_intake,Fixed Capital Investment (FCI),$MM,20.98272227,Excel,
1,Carlsbad,Baseline,sw_onshore_intake,Land_Cost,$MM,0.031474083,Excel,
2,Carlsbad,Baseline,sw_onshore_intake,Working Capital,$MM,1.049136113,Excel,
3,Carlsbad,Baseline,sw_onshore_intake,Total Capital Investment (TCI),$MM,22.06333247,Excel,
4,Carlsbad,Baseline,sw_onshore_intake,Catalysts and Chemicals,$MM/yr,0,Excel,
5,Carlsbad,Baseline,sw_onshore_intake,Electricity,$MM/yr,1.983294177,Excel,
6,Carlsbad,Baseline,sw_onshore_intake,Fuel and Other Utilities,$MM/yr,0,Excel,
7,Carlsbad,Baseline,sw_onshore_intake,Replacement Parts,$MM/yr,0,Excel,
8,Carlsbad,Baseline,sw_onshore_intake,Other Operating Costs,$MM/yr,0,Excel,
9,Carlsbad,Baseline,sw_onshore_intake,Total Variable Operating Costs,$MM/yr,1.983294177,Excel,
10,Carlsbad,Baseline,sw_onshore_intake,Employee Salaries,$MM/yr,0.021004088,Excel,
11,Carlsbad,Baseline,sw_onshore_intake,Benefits,$MM/yr,0.018903679,Excel,
12,Carlsbad,Baseline,sw_onshore_intake,Maintenance,$MM/yr,0.167861778,Excel,
13,Carlsbad,Baseline,sw_onshore_intake,Laboratory,$MM/yr,0.055953926,Excel,
14,Carlsbad,Baseline,sw_onshore_intake,Insurance and Taxes,$MM/yr,0.039167748,Excel,
15,Carlsbad,Baseline,sw_onshore_intake,Total Fixed Operating Costs,$MM/yr,0.30289122,Excel,
16,Carlsbad,Baseline,sw_onshore_intake,Capacity_Basis_for_Fixed_Capital_Cost,,16666.66667,Excel,
17,Carlsbad,Baseline,sw_onshore_intake,Base_Fixed_Capital_Cost,$MM,20.49320555,Excel,
18,Carlsbad,Baseline,sw_onshore_intake,Capital_Scaling_Exponent,,0.888,Excel,
19,Carlsbad,Baseline,sw_onshore_intake,Base_Employee_Salary_Cost,$MM/yr,0.020493206,Excel,
20,Carlsbad,Baseline,sw_onshore_intake,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
21,Carlsbad,Baseline,sw_onshore_intake,Basis_Year,,2018,Excel,
22,Carlsbad,Baseline,sw_onshore_intake,Capital_and_Replacement_Parts,,1.033065562,Excel,
23,Carlsbad,Baseline,sw_onshore_intake,Catalysts_and_Chemicals,,1.045314229,Excel,
24,Carlsbad,Baseline,sw_onshore_intake,Labor_and_Other_Fixed_Costs,,1.032165415,Excel,
25,Carlsbad,Baseline,sw_onshore_intake,Consumer_Price_Index,,1.039364215,Excel,
26,Carlsbad,Baseline,sw_onshore_intake,Grid_Electricity,kWh/m3,0.102398663,Excel,
27,Carlsbad,Baseline,sw_onshore_intake,Inlet Water,m3/hr,16500,Excel,
28,Carlsbad,Baseline,sw_onshore_intake,Outlet Water,m3/hr,16500,Excel,
29,Carlsbad,Baseline,coag_and_floc,Fixed Capital Investment (FCI),$MM,16.11069906,Excel,
30,Carlsbad,Baseline,coag_and_floc,Land_Cost,$MM,0.024166049,Excel,
31,Carlsbad,Baseline,coag_and_floc,Working Capital,$MM,0.805534953,Excel,
32,Carlsbad,Baseline,coag_and_floc,Total Capital Investment (TCI),$MM,16.94040007,Excel,
33,Carlsbad,Baseline,coag_and_floc,Catalysts and Chemicals,$MM/yr,1.114695451,Excel,
34,Carlsbad,Baseline,coag_and_floc,Electricity,$MM/yr,0.108666163,Excel,
35,Carlsbad,Baseline,coag_and_floc,Fuel and Other Utilities,$MM/yr,0,Excel,
36,Carlsbad,Baseline,coag_and_floc,Replacement Parts,$MM/yr,0,Excel,
37,Carlsbad,Baseline,coag_and_floc,Other Operating Costs,$MM/yr,0,Excel,
38,Carlsbad,Baseline,coag_and_floc,Total Variable Operating Costs,$MM/yr,1.223361614,Excel,
39,Carlsbad,Baseline,coag_and_floc,Employee Salaries,$MM/yr,0.011584374,Excel,
40,Carlsbad,Baseline,coag_and_floc,Benefits,$MM/yr,0.010425936,Excel,
41,Carlsbad,Baseline,coag_and_floc,Maintenance,$MM/yr,0.128885593,Excel,
42,Carlsbad,Baseline,coag_and_floc,Laboratory,$MM/yr,0.042961864,Excel,
43,Carlsbad,Baseline,coag_and_floc,Insurance and Taxes,$MM/yr,0.030073305,Excel,
44,Carlsbad,Baseline,coag_and_floc,Total Fixed Operating Costs,$MM/yr,0.223931072,Excel,
45,Carlsbad,Baseline,coag_and_floc,Capacity_Basis_for_Fixed_Capital_Cost,,6072.431404,Excel,
46,Carlsbad,Baseline,coag_and_floc,Base_Fixed_Capital_Cost,$MM,5.365888438,Excel,
47,Carlsbad,Baseline,coag_and_floc,Capital_Scaling_Exponent,,1,Excel,
48,Carlsbad,Baseline,coag_and_floc,Base_Employee_Salary_Cost,$MM/yr,0.005365888,Excel,
49,Carlsbad,Baseline,coag_and_floc,Fixed_Op_Cost_Scaling_Exponent,,0.7,Excel,
50,Carlsbad,Baseline,coag_and_floc,Basis_Year,,2020,Excel,
51,Carlsbad,Baseline,coag_and_floc,Capital_and_Replacement_Parts,,1,Excel,
52,Carlsbad,Baseline,coag_and_floc,Catalysts_and_Chemicals,,1,Excel,
53,Carlsbad,Baseline,coag_and_floc,Labor_and_Other_Fixed_Costs,,1,Excel,
54,Carlsbad,Baseline,coag_and_floc,Consumer_Price_Index,,1,Excel,
55,Carlsbad,Baseline,coag_and_floc,Grid_Electricity,kWh,0.005077502,Excel,
56,Carlsbad,Baseline,coag_and_floc,Inlet Water,m3/hr,18232.0442,Excel,
57,Carlsbad,Baseline,coag_and_floc,Outlet Water,m3/hr,18232.0442,Excel,
58,Carlsbad,Baseline,tri_media_filtration,Fixed Capital Investment (FCI),$MM,13.16290412,Excel,
59,Carlsbad,Baseline,tri_media_filtration,Land_Cost,$MM,0.019744356,Excel,
60,Carlsbad,Baseline,tri_media_filtration,Working Capital,$MM,0.658145206,Excel,
61,Carlsbad,Baseline,tri_media_filtration,Total Capital Investment (TCI),$MM,13.84079368,Excel,
62,Carlsbad,Baseline,tri_media_filtration,Catalysts and Chemicals,$MM/yr,0,Excel,
63,Carlsbad,Baseline,tri_media_filtration,Electricity,$MM/yr,4.240259181,Excel,
64,Carlsbad,Baseline,tri_media_filtration,Fuel and Other Utilities,$MM/yr,0,Excel,
65,Carlsbad,Baseline,tri_media_filtration,Replacement Parts,$MM/yr,1.26232091,Excel,
66,Carlsbad,Baseline,tri_media_filtration,Other Operating Costs,$MM/yr,0,Excel,
67,Carlsbad,Baseline,tri_media_filtration,Total Variable Operating Costs,$MM/yr,5.502580091,Excel,
68,Carlsbad,Baseline,tri_media_filtration,Employee Salaries,$MM/yr,0.016173532,Excel,
69,Carlsbad,Baseline,tri_media_filtration,Benefits,$MM/yr,0.014556179,Excel,
70,Carlsbad,Baseline,tri_media_filtration,Maintenance,$MM/yr,0.105303233,Excel,
71,Carlsbad,Baseline,tri_media_filtration,Laboratory,$MM/yr,0.035101078,Excel,
72,Carlsbad,Baseline,tri_media_filtration,Insurance and Taxes,$MM/yr,0.024570754,Excel,
73,Carlsbad,Baseline,tri_media_filtration,Total Fixed Operating Costs,$MM/yr,0.195704776,Excel,
74,Carlsbad,Baseline,tri_media_filtration,Capacity_Basis_for_Fixed_Capital_Cost,,4731.764235,Excel,
75,Carlsbad,Baseline,tri_media_filtration,Base_Fixed_Capital_Cost,$MM,5.5,Excel,
76,Carlsbad,Baseline,tri_media_filtration,Capital_Scaling_Exponent,,0.5862,Excel,
