Case_Study,Scenario,Unit_Process,Recovery_Rate,Reference
Carlsbad,Baseline,sw_onshore_intake,1,
Carlsbad,Baseline,coag_and_floc,1,
Carlsbad,Baseline,tri_media_filtration,0.9,
Carlsbad,Baseline,sulfuric_acid_addition,1,
Carlsbad,Baseline,sodium_bisulfite_addition,1,
Carlsbad,Baseline,cartridge_filtration,1,
Carlsbad,Baseline,ro_deep,calculated,
Carlsbad,Baseline,lime_softening,1,
Carlsbad,Baseline,co2_addition,1,
Carlsbad,Baseline,chlorination_twb,1,
Carlsbad,Baseline,ammonia_addition,1,
Carlsbad,Baseline,treated_storage_24_hr,1,
Carlsbad,Baseline,municipal_drinking,1,
Carlsbad,Baseline,backwash_solids_handling,0.95,
Carlsbad,Baseline,surface_discharge,1,
Carlsbad,Baseline,landfill,1,
