unit_process,flow_basis,cap_basis,cap_exp,year,,,,,,,
aeration_basin,4731.764235,5.5,0.586,2014,,,,,,,
agriculture,15772.5491,7.381985478,0.8657,2020,,,,,,,
air_flotation,15772.5491,4.488923561,0.8671,2015,,,,,,,
ammonia_addition,10000,0.724495372,0.4219,2007,,,,,,,
anti_oxidant_addition,2271.246833,3,0.7,2019,,,,,,,
anti_scalant_addition,10000,0.212349955,0.6179,2007,,,,,,,
bio_active_filtration,4731.764235,5.5,0.5862,2014,,,,,,,
brine_ro,3125,84.5,0.718,2007,,,,,,,
buffer_tank,29526.20883,1,0.7,2019,,,,,,,
cartridge_filtration,4731.764235,5.5,0.5862,2014,,,,,,,
cas,4731.764235,5.5,0.5862,2014,,,,,,,
cas_denitrif,4731.764235,5.5,0.5862,2014,,,,,,,
cas_nitrif,4731.764235,5.5,0.5862,2014,,,,,,,
caustic_soda_addition,10000,1.945138021,0.6195,2007,,,,,,,
chlorination,2271.246833,3.382038836,0.527034,2014,,,,,,,
clarifier,5450,0.603553383,0.3182,2007,,,,,,,
co2_addition,10000,7.953579369,0.6475,2007,,,,,,,
coag_and_floc,6072.431404,5.365888438,1,2020,,,,,,,
coagulant_addition,10000,1.420659676,0.5479,2007,,,,,,,
coal_plant_cooling_tower,50000,0.00000001,0.7,2020,,,,,,,
cooling_supply,15772.5491,7.381985478,0.8657,2020,,,,,,,
decarbonator,1577,0.15,1,2007,,,,,,,
deep_bed_filtration,4731.764235,5.5,0.5862,2014,,,,,,,
deep_well,15772.5491,4.488923561,0.8671,2007,,,,,,,
direct_injection,2271.246833,1,0.7,2014,,,,,,,
discharge,15772.5491,7.381985478,0.8657,2020,,,,,,,
disinfection,2271.246833,13.5,0.9,2020,,,,,,,
electro_deionization,2271.246833,13.5,0.9,2020,,,,,,,
electrodialysis_reversal,946.352946,31,1,2016,,,,,,,
engineered_buffer_with_chloramine,2271.246833,3,0.7,2014,,,,,,,
engineered_buffer_with_chlorine,2271.246833,3,0.7,2014,,,,,,,
feed_water_tank,1736,2,0.7,2007,,,,,,,
ferric_chloride_addition,10000,2.652103844,0.319,2007,,,,,,,
fixed_bed_pressure_vessel,11840.76806,39.28724563,0.734,2017,,,,,,,
gac_feed_pump,15772.5491,4.488923561,0.8671,2018,,,,,,,
holding_tank,1000,0.303617561,0.72093,1998,,,,,,,
hydrochloric_acid_addition,10000,0.258002443,0.6179,2007,,,,,,,
industrial,15772.5491,7.381985478,0.8657,2020,,,,,,,
injection_well,2271.246833,3,0.7,2019,,,,,,,
iron_and_manganese_removal,4732,12.17829669,0.7,2014,,,,,,,
irrigation,15772.5491,7.381985478,0.8657,2020,,,,,,,
lime_addition,10000,5.100451025,0.544,2007,,,,,,,
lime_softening,1577.25491,15,0.7306,2020,,,,,,,
mbr_denitrification,4731.764235,5.5,0.5862,2014,,,,,,,
mbr_nitrification,4731.764235,5.5,0.5862,2014,,,,,,,
media_filtration,4731.764235,5.5,0.5862,2014,,,,,,,
microfiltration,4731.764235,75,1,2014,,,,,,,
microscreen_filtration,16666.66667,3.25,0.9,2018,,,,,,,
mining,15772.5491,7.381985478,0.8657,2020,,,,,,,
municipal_drinking,15772.5491,7.381985478,0.8657,2020,,,,,,,
nano_filtration,4731.764235,75,1,2014,,,,,,,
oil_and_gas,15772.5491,7.381985478,0.8657,2020,,,,,,,
onsite_storage,1314,6.8784383,0.72,1998,,,,,,,
ozonation,2271.246833,12.06655535,0.46,2014,,,,,,,
ozone_aop,2271.246833,12.06655535,0.46,2014,,,,,,,
pumping_station,15772.5491,4.488923561,0.8671,2020,,,,,,,
recharge_pump_well,3154.50982,34.04395077,0.7,2015,,,,,,,
sedimentation,5450,0.603553383,0.3182,2007,,,,,,,
settling_pond,5450,0.603553383,0.3182,2007,,,,,,,
sludge_tank,100000,1,0.7,2020,,,,,,,
sodium_bisulfite_addition,10000,0.259078217,0.6179,2007,,,,,,,
soil_aquifer_treatment,2271.246833,1,0.7,2014,,,,,,,
static_mixer,180,0.020959851,0.4,2010,,,,,,,
sulfuric_acid_addition,10000,0.23,0.6179,2007,,,,,,,
surface_augmentation,2271.246833,2,0.7,2014,,,,,,,
surface_discharge,10416.66667,35,0.7,2020,,,,,,,
sw_onshore_intake,16666.66667,20.49320555,0.888,2018,,,,,,,
tri_media_filtration,4731.764235,5.5,0.5862,2014,,,,,,,
tuscarora_md,4731.764235,150,1,2014,,,,,,,
uf_feed_pump,15772.5491,4.488923561,0.7,2018,,,,,,,
ultra_filtration,4731.764235,75,1,2014,,,,,,,
uv_aop,2271.246833,9.720774324,0.402305642,2014,,,,,,,
uv_irradiation,2271.246833,4.449369432,0.608814818,2014,,,,,,,
walnut_shell_filter,4731.764235,5.5,0.5862,2014,,,,,,,
water_pumping_station,15772.5491,4.488923561,0.8671,2020,,,,,,,
well_field,1250,3.26,0.9196,2020,,,,,,,
