unit_process,flow_in_mgd,flow_in,flow_in_avg_mgd,flow_in_avg,cap_direct,cap_other,cap_indirect,cap_total,labor,materials,other,electricity_annual,electricity_flow,tds_in,num_stage,radon_rem,ebct,capacity,Sodium_Chloride,Ion_Exchange_Resin,Acetic_Acid,Phosphoric_Acid,Iron_FeCl3,Cationic_Polymer,Activated_Carbon,Sand,Anthracite,Sodium_Hexametaphosphate
cation_exchange,0.03,4.73176473,0.007,1.104078437,58376.35498,1052.150981,28071.40057,87499.90653,17437.30917,697.9538653,817.373481,0.141621488,0.014642833,200,,,,,0.777756661,0.003759062,,,,,,,,
cation_exchange,0.305,48.10627476,0.094,14.82619615,118765.0524,1416.510851,57649.71144,177831.2747,20254.47204,2223.644624,8261.621143,0.998453089,0.007687654,200,,,,,0.777756661,0.002309112,,,,,,,,
cation_exchange,2.152,339.4252566,0.819,129.1771771,788430.8865,10437.21822,473635.5602,1272503.665,66719.33657,24132.94196,66534.25325,90.89625827,0.080325994,200,,,,,0.777756661,0.002195084,,,,,,,,
cation_exchange,22.614,3566.804253,11.066,1745.390283,3864977.711,36237.62296,1984765.684,5885981.018,198301.1671,75505.55533,887325.7632,1321.689242,0.08644357,200,,,,,0.777756661,0.001766351,,,,,,,,
cation_exchange,75.072,11840.76806,37.536,5920.38403,10513123.38,113224.3247,4953926.115,15580273.82,302295.8612,144551.7104,2958442.028,3901.508222,0.075227831,200,,,,,0.777756661,0.001828673,,,,,,,,
cation_exchange,0.03,4.73176473,0.007,1.104078437,59078.72442,1101.762147,28476.86994,88657.35651,23665.57658,754.723533,2079.677348,0.324697647,0.033571837,600,,,,,2.333269984,0.003759062,,,,,,,,
cation_exchange,0.305,48.10627476,0.094,14.82619615,123419.3756,1481.654096,59973.0481,184874.0778,30956.91356,2453.662288,24380.37207,2.678562538,0.020623765,600,,,,,2.333269984,0.002309112,,,,,,,,
cation_exchange,2.152,339.4252566,0.819,129.1771771,824702.6401,11123.39436,497018.9909,1332845.025,100568.4624,26476.88318,198916.2927,118.4778726,0.104700161,600,,,,,2.333269984,0.002195084,,,,,,,,
cation_exchange,22.614,3566.804253,11.066,1745.390283,4331595.56,47633.09624,2264668.775,6643897.432,349309.876,110204.6566,3609234.665,1658.30374,0.108459456,600,,,,,2.333269984,0.001766351,,,,,,,,
cation_exchange,75.072,11840.76806,37.536,5920.38403,11940472.91,179488.3915,5752833.712,17872795.01,553669.4109,255013.416,9158222.307,4252.324116,0.081992169,600,,,,,2.333269984,0.001828673,,,,,,,,
cation_exchange,0.03,4.73176473,0.007,1.104078437,59112.29712,1101.762147,28491.92394,88705.9832,29871.18492,755.05926,3341.981216,0.499197411,0.051614092,1000,,,,,3.888783307,0.003759062,,,,,,,,
cation_exchange,0.305,48.10627476,0.094,14.82619615,126073.7448,1546.797341,61566.91533,189187.4575,41682.01416,2740.107979,40499.123,4.511292927,0.03473499,1000,,,,,3.888783307,0.002309112,,,,,,,,
