Case Study,Scenario,Unit Process Name,Variable,Unit,Value
Carlsbad,Baseline,sw_onshore_intake,Fixed Capital Investment (FCI),$MM,20.98272227
Carlsbad,Baseline,sw_onshore_intake,Land_Cost,$MM,0.031474083
Carlsbad,Baseline,sw_onshore_intake,Working Capital,$MM,1.049136113
Carlsbad,Baseline,sw_onshore_intake,Total Capital Investment (TCI),$MM,22.06333247
Carlsbad,Baseline,sw_onshore_intake,Catalysts and Chemicals,$MM/yr,0
Carlsbad,Baseline,sw_onshore_intake,Electricity,$MM/yr,1.983294177
Carlsbad,Baseline,sw_onshore_intake,Fuel and Other Utilities,$MM/yr,0
Carlsbad,Baseline,sw_onshore_intake,Replacement Parts,$MM/yr,0
Carlsbad,Baseline,sw_onshore_intake,Other Operating Costs,$MM/yr,0
Carlsbad,Baseline,sw_onshore_intake,Total Variable Operating Costs,$MM/yr,1.983294177
Carlsbad,Baseline,sw_onshore_intake,Employee Salaries,$MM/yr,0.021004088
Carlsbad,Baseline,sw_onshore_intake,Benefits,$MM/yr,0.018903679
Carlsbad,Baseline,sw_onshore_intake,Maintenance,$MM/yr,0.167861778
Carlsbad,Baseline,sw_onshore_intake,Laboratory,$MM/yr,0.055953926
Carlsbad,Baseline,sw_onshore_intake,Insurance and Taxes,$MM/yr,0.039167748
Carlsbad,Baseline,sw_onshore_intake,Total Fixed Operating Costs,$MM/yr,0.30289122
Carlsbad,Baseline,sw_onshore_intake,Capacity_Basis_for_Fixed_Capital_Cost,,16666.66667
Carlsbad,Baseline,sw_onshore_intake,Base_Fixed_Capital_Cost,$MM,20.49320555
Carlsbad,Baseline,sw_onshore_intake,Capital_Scaling_Exponent,,0.888
Carlsbad,Baseline,sw_onshore_intake,Base_Employee_Salary_Cost,$MM/yr,0.020493206
Carlsbad,Baseline,sw_onshore_intake,Fixed_Op_Cost_Scaling_Exponent,,0.7
Carlsbad,Baseline,sw_onshore_intake,Basis_Year,,2018
Carlsbad,Baseline,sw_onshore_intake,Capital_and_Replacement_Parts,,1.033065562
Carlsbad,Baseline,sw_onshore_intake,Catalysts_and_Chemicals,,1.045314229
Carlsbad,Baseline,sw_onshore_intake,Labor_and_Other_Fixed_Costs,,1.032165415
Carlsbad,Baseline,sw_onshore_intake,Consumer_Price_Index,,1.039364215
Carlsbad,Baseline,sw_onshore_intake,Grid_Electricity,kWh/m3,0.102398663
Carlsbad,Baseline,sw_onshore_intake,Inlet Water,m3/hr,16500
Carlsbad,Baseline,sw_onshore_intake,Outlet Water,m3/hr,16500
Carlsbad,Baseline,coag_and_floc,Fixed Capital Investment (FCI),$MM,16.11069906
Carlsbad,Baseline,coag_and_floc,Land_Cost,$MM,0.024166049
Carlsbad,Baseline,coag_and_floc,Working Capital,$MM,0.805534953
Carlsbad,Baseline,coag_and_floc,Total Capital Investment (TCI),$MM,16.94040007
Carlsbad,Baseline,coag_and_floc,Catalysts and Chemicals,$MM/yr,1.114695451
Carlsbad,Baseline,coag_and_floc,Electricity,$MM/yr,0.108666163
Carlsbad,Baseline,coag_and_floc,Fuel and Other Utilities,$MM/yr,0
Carlsbad,Baseline,coag_and_floc,Replacement Parts,$MM/yr,0
Carlsbad,Baseline,coag_and_floc,Other Operating Costs,$MM/yr,0
Carlsbad,Baseline,coag_and_floc,Total Variable Operating Costs,$MM/yr,1.223361614
Carlsbad,Baseline,coag_and_floc,Employee Salaries,$MM/yr,0.011584374
Carlsbad,Baseline,coag_and_floc,Benefits,$MM/yr,0.010425936
Carlsbad,Baseline,coag_and_floc,Maintenance,$MM/yr,0.128885593
Carlsbad,Baseline,coag_and_floc,Laboratory,$MM/yr,0.042961864
Carlsbad,Baseline,coag_and_floc,Insurance and Taxes,$MM/yr,0.030073305
Carlsbad,Baseline,coag_and_floc,Total Fixed Operating Costs,$MM/yr,0.223931072
Carlsbad,Baseline,coag_and_floc,Capacity_Basis_for_Fixed_Capital_Cost,,6072.431404
Carlsbad,Baseline,coag_and_floc,Base_Fixed_Capital_Cost,$MM,5.365888438
Carlsbad,Baseline,coag_and_floc,Capital_Scaling_Exponent,,1
Carlsbad,Baseline,coag_and_floc,Base_Employee_Salary_Cost,$MM/yr,0.005365888
Carlsbad,Baseline,coag_and_floc,Fixed_Op_Cost_Scaling_Exponent,,0.7
Carlsbad,Baseline,coag_and_floc,Basis_Year,,2020
Carlsbad,Baseline,coag_and_floc,Capital_and_Replacement_Parts,,1
Carlsbad,Baseline,coag_and_floc,Catalysts_and_Chemicals,,1
Carlsbad,Baseline,coag_and_floc,Labor_and_Other_Fixed_Costs,,1
