Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
well_field,Electricity Intensity Unit Inlet,0.0,Electricity,kwh/m3,emwd,dwi
well_field,Electricity Intensity System Treated,0.0,Electricity,kwh/m3,emwd,dwi
well_field,Unit Levelized Cost,0.02599946150084814,LCOW,$/m3,emwd,dwi
well_field,Fixed Capital Investment (FCI),3.630800699656683,Cost,$MM,emwd,dwi
well_field,Land,0.005446201049485025,Cost,$MM,emwd,dwi
well_field,Working Capital,0.18154003498283416,Cost,$MM,emwd,dwi
well_field,Total Capital Investment (TCI),3.817786935689002,Cost,$MM,emwd,dwi
well_field,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,emwd,dwi
well_field,Electricity,0.0,Annual Cost,$MM/yr,emwd,dwi
well_field,Other Operating,0.0,Annual Cost,$MM/yr,emwd,dwi
well_field,Employee Salaries,0.0018154003498283416,Annual Cost,$MM/yr,emwd,dwi
well_field,Benefits,0.0016338603148455075,Annual Cost,$MM/yr,emwd,dwi
well_field,Maintenance,0.029046405597253466,Annual Cost,$MM/yr,emwd,dwi
well_field,Laboratory,0.01089240209897005,Annual Cost,$MM/yr,emwd,dwi
well_field,Insurance and Taxes,0.007261601399313367,Annual Cost,$MM/yr,emwd,dwi
well_field,Total Fixed Operating ,0.05064966976021073,Annual Cost,$MM/yr,emwd,dwi
well_field,Base Employee Salary,0.0018154003498101875,Annual Cost,$MM/yr,emwd,dwi
well_field,Electricity,0.0,Annual Cost,$MM/yr,emwd,dwi
well_field,Annual O&M Costs,0.05064966976021073,Annual Cost,$MM/yr,emwd,dwi
well_field,Inlet Water,0.381,Water Flow,m3/s,emwd,dwi
well_field,Outlet Water,0.3809619,Water Flow,m3/s,emwd,dwi
well_field,Waste Water,3.809999999998537e-05,Water Flow,m3/s,emwd,dwi
well_field,tds,2.33,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,tds,2.330209720972097,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,tds,0.2330000000000895,Waste Constituent Density,kg/m3,emwd,dwi
well_field,tds,0.88773,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,tds,0.8877211227,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,tds,8.8773e-06,Waste Constituent Total Mass,kg,emwd,dwi
well_field,boron,0.000193,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,boron,0.0001930173717371737,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,boron,1.9300000000007415e-05,Waste Constituent Density,kg/m3,emwd,dwi
well_field,boron,7.3533e-05,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,boron,7.353226467e-05,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,boron,7.353300000000001e-10,Waste Constituent Total Mass,kg,emwd,dwi
well_field,alkalinity_as_caco3,0.538,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,alkalinity_as_caco3,0.5380484248424843,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,alkalinity_as_caco3,0.053800000000020665,Waste Constituent Density,kg/m3,emwd,dwi
well_field,alkalinity_as_caco3,0.20497800000000002,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,alkalinity_as_caco3,0.20497595022,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,alkalinity_as_caco3,2.04978e-06,Waste Constituent Total Mass,kg,emwd,dwi
well_field,aluminum,7.8e-05,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,aluminum,7.80070207020702e-05,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,aluminum,7.800000000002995e-06,Waste Constituent Density,kg/m3,emwd,dwi
well_field,aluminum,2.9718e-05,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,aluminum,2.971770282e-05,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,aluminum,2.9718e-10,Waste Constituent Total Mass,kg,emwd,dwi
well_field,arsenic,7.5e-06,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,arsenic,7.5006750675067505e-06,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,arsenic,7.500000000002881e-07,Waste Constituent Density,kg/m3,emwd,dwi
well_field,arsenic,2.8575e-06,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,arsenic,2.857471425e-06,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,arsenic,2.8575000000000002e-11,Waste Constituent Total Mass,kg,emwd,dwi
well_field,barium,0.000129,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,barium,0.0001290116111611161,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,barium,1.2900000000004955e-05,Waste Constituent Density,kg/m3,emwd,dwi
well_field,barium,4.9149e-05,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,barium,4.914850851e-05,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,barium,4.9149e-10,Waste Constituent Total Mass,kg,emwd,dwi
well_field,bicarbonate_alkalinity_as_caco3,0.662,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,bicarbonate_alkalinity_as_caco3,0.6620595859585959,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,bicarbonate_alkalinity_as_caco3,0.06620000000002543,Waste Constituent Density,kg/m3,emwd,dwi
well_field,bicarbonate_alkalinity_as_caco3,0.252222,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,bicarbonate_alkalinity_as_caco3,0.25221947778000003,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,bicarbonate_alkalinity_as_caco3,2.5222200000000003e-06,Waste Constituent Total Mass,kg,emwd,dwi
well_field,calcium,0.331,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,calcium,0.33102979297929797,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,calcium,0.033100000000012716,Waste Constituent Density,kg/m3,emwd,dwi
well_field,calcium,0.126111,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,calcium,0.12610973889000002,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,calcium,1.2611100000000002e-06,Waste Constituent Total Mass,kg,emwd,dwi
well_field,chloride,0.565,Inlet Constituent Density,kg/m3,emwd,dwi
well_field,chloride,0.5650508550855085,Outlet Constituent Density,kg/m3,emwd,dwi
well_field,chloride,0.0565000000000217,Waste Constituent Density,kg/m3,emwd,dwi
well_field,chloride,0.21526499999999998,Inlet Constituent Total Mass,kg,emwd,dwi
well_field,chloride,0.21526284734999998,Outlet Constituent Total Mass,kg,emwd,dwi
well_field,chloride,2.15265e-06,Waste Constituent Total Mass,kg,emwd,dwi
