Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
well_field,Electricity Intensity Unit Inlet,0.0,Electricity,kwh/m3,irwin,baseline
well_field,Electricity Intensity System Treated,0.0,Electricity,kwh/m3,irwin,baseline
well_field,Unit Levelized Cost,0.02591460584357019,LCOW,$/m3,irwin,baseline
well_field,Fixed Capital Investment (FCI),2.780836332595828,Cost,$MM,irwin,baseline
well_field,Land,0.004171254498893742,Cost,$MM,irwin,baseline
well_field,Working Capital,0.1390418166297914,Cost,$MM,irwin,baseline
well_field,Total Capital Investment (TCI),2.9240494037245135,Cost,$MM,irwin,baseline
well_field,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,irwin,baseline
well_field,Electricity,0.0,Annual Cost,$MM/yr,irwin,baseline
well_field,Other Operating,0.0,Annual Cost,$MM/yr,irwin,baseline
well_field,Employee Salaries,0.001390418166297914,Annual Cost,$MM/yr,irwin,baseline
well_field,Benefits,0.0012513763496681226,Annual Cost,$MM/yr,irwin,baseline
well_field,Maintenance,0.022246690660766625,Annual Cost,$MM/yr,irwin,baseline
well_field,Laboratory,0.008342508997787485,Annual Cost,$MM/yr,irwin,baseline
well_field,Insurance and Taxes,0.005561672665191656,Annual Cost,$MM/yr,irwin,baseline
well_field,Total Fixed Operating ,0.038792666839711804,Annual Cost,$MM/yr,irwin,baseline
well_field,Base Employee Salary,0.0013904181662840098,Annual Cost,$MM/yr,irwin,baseline
well_field,Electricity,0.0,Annual Cost,$MM/yr,irwin,baseline
well_field,Annual O&M Costs,0.038792666839711804,Annual Cost,$MM/yr,irwin,baseline
well_field,Inlet Water,0.285083,Water Flow,m3/s,irwin,baseline
well_field,Outlet Water,0.28505449169999997,Water Flow,m3/s,irwin,baseline
well_field,Waste Water,2.850830000000748e-05,Water Flow,m3/s,irwin,baseline
well_field,tds,0.69,Inlet Constituent Density,kg/m3,irwin,baseline
well_field,tds,0.690062106210621,Outlet Constituent Density,kg/m3,irwin,baseline
well_field,tds,0.0689999999999819,Waste Constituent Density,kg/m3,irwin,baseline
well_field,tds,0.19670726999999996,Inlet Constituent Total Mass,kg,irwin,baseline
well_field,tds,0.19670530292729996,Outlet Constituent Total Mass,kg,irwin,baseline
well_field,tds,1.9670727e-06,Waste Constituent Total Mass,kg,irwin,baseline
well_field,nitrate,0.0203,Inlet Constituent Density,kg/m3,irwin,baseline
well_field,nitrate,0.020301827182718273,Outlet Constituent Density,kg/m3,irwin,baseline
well_field,nitrate,0.002029999999999467,Waste Constituent Density,kg/m3,irwin,baseline
well_field,nitrate,0.005787184899999999,Inlet Constituent Total Mass,kg,irwin,baseline
well_field,nitrate,0.005787127028150999,Outlet Constituent Total Mass,kg,irwin,baseline
well_field,nitrate,5.787184899999999e-08,Waste Constituent Total Mass,kg,irwin,baseline
well_field,arsenic,2.5e-05,Inlet Constituent Density,kg/m3,irwin,baseline
well_field,arsenic,2.5002250225022504e-05,Outlet Constituent Density,kg/m3,irwin,baseline
well_field,arsenic,2.4999999999993438e-06,Waste Constituent Density,kg/m3,irwin,baseline
well_field,arsenic,7.127075e-06,Inlet Constituent Total Mass,kg,irwin,baseline
well_field,arsenic,7.12700372925e-06,Outlet Constituent Total Mass,kg,irwin,baseline
well_field,arsenic,7.127075e-11,Waste Constituent Total Mass,kg,irwin,baseline
well_field,barium,2e-05,Inlet Constituent Density,kg/m3,irwin,baseline
well_field,barium,2.0001800180018004e-05,Outlet Constituent Density,kg/m3,irwin,baseline
well_field,barium,1.9999999999994756e-06,Waste Constituent Density,kg/m3,irwin,baseline
well_field,barium,5.70166e-06,Inlet Constituent Total Mass,kg,irwin,baseline
well_field,barium,5.7016029833999995e-06,Outlet Constituent Total Mass,kg,irwin,baseline
well_field,barium,5.701660000000001e-11,Waste Constituent Total Mass,kg,irwin,baseline
well_field,bicarbonate_alkalinity_as_caco3,0.1786,Inlet Constituent Density,kg/m3,irwin,baseline
well_field,bicarbonate_alkalinity_as_caco3,0.17861607560756076,Outlet Constituent Density,kg/m3,irwin,baseline
well_field,bicarbonate_alkalinity_as_caco3,0.01785999999999531,Waste Constituent Density,kg/m3,irwin,baseline
