Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
well_field,Electricity Intensity Unit Inlet,0.0,Electricity,kwh/m3,lithium,baseline
well_field,Electricity Intensity System Treated,0.0,Electricity,kwh/m3,lithium,baseline
well_field,Unit Levelized Cost,2.657831247186673,LCOW,$/m3,lithium,baseline
well_field,Fixed Capital Investment (FCI),35.60271472233118,Cost,$MM,lithium,baseline
well_field,Land,0.05340407208349677,Cost,$MM,lithium,baseline
well_field,Working Capital,1.780135736116559,Cost,$MM,lithium,baseline
well_field,Total Capital Investment (TCI),37.43625453053123,Cost,$MM,lithium,baseline
well_field,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,lithium,baseline
well_field,Electricity,0.0,Annual Cost,$MM/yr,lithium,baseline
well_field,Other Operating,0.0,Annual Cost,$MM/yr,lithium,baseline
well_field,Employee Salaries,0.01780135736116559,Annual Cost,$MM/yr,lithium,baseline
well_field,Benefits,0.016021221625049032,Annual Cost,$MM/yr,lithium,baseline
well_field,Maintenance,0.28482171777864945,Annual Cost,$MM/yr,lithium,baseline
well_field,Laboratory,0.10680814416699354,Annual Cost,$MM/yr,lithium,baseline
well_field,Insurance and Taxes,0.07120542944466236,Annual Cost,$MM/yr,lithium,baseline
well_field,Total Fixed Operating ,0.4966578703765199,Annual Cost,$MM/yr,lithium,baseline
well_field,Base Employee Salary,0.017801357360987577,Annual Cost,$MM/yr,lithium,baseline
well_field,Electricity,0.0,Annual Cost,$MM/yr,lithium,baseline
well_field,Annual O&M Costs,0.4966578703765199,Annual Cost,$MM/yr,lithium,baseline
well_field,Inlet Water,4.561316,Water Flow,m3/s,lithium,baseline
well_field,Outlet Water,4.5608598684,Water Flow,m3/s,lithium,baseline
well_field,Waste Water,0.0004561316000000204,Water Flow,m3/s,lithium,baseline
well_field,tss,0.035,Inlet Constituent Density,kg/m3,lithium,baseline
well_field,tss,0.03500315031503151,Outlet Constituent Density,kg/m3,lithium,baseline
well_field,tss,0.003499999999999844,Waste Constituent Density,kg/m3,lithium,baseline
well_field,tss,0.15964606,Inlet Constituent Total Mass,kg,lithium,baseline
well_field,tss,0.15964446353940004,Outlet Constituent Total Mass,kg,lithium,baseline
well_field,tss,1.5964606000000003e-06,Waste Constituent Total Mass,kg,lithium,baseline
well_field,tds,139.0,Inlet Constituent Density,kg/m3,lithium,baseline
well_field,tds,139.01251125112512,Outlet Constituent Density,kg/m3,lithium,baseline
well_field,tds,13.899999999999379,Waste Constituent Density,kg/m3,lithium,baseline
well_field,tds,634.022924,Inlet Constituent Total Mass,kg,lithium,baseline
well_field,tds,634.01658377076,Outlet Constituent Total Mass,kg,lithium,baseline
well_field,tds,0.00634022924,Waste Constituent Total Mass,kg,lithium,baseline
well_field,boron,0.05,Inlet Constituent Density,kg/m3,lithium,baseline
well_field,boron,0.050004500450045,Outlet Constituent Density,kg/m3,lithium,baseline
well_field,boron,0.004999999999999777,Waste Constituent Density,kg/m3,lithium,baseline
well_field,boron,0.22806579999999999,Inlet Constituent Total Mass,kg,lithium,baseline
well_field,boron,0.22806351934199998,Outlet Constituent Total Mass,kg,lithium,baseline
well_field,boron,2.2806580000000006e-06,Waste Constituent Total Mass,kg,lithium,baseline
well_field,calcium,0.45,Inlet Constituent Density,kg/m3,lithium,baseline
well_field,calcium,0.4500405040504051,Outlet Constituent Density,kg/m3,lithium,baseline
well_field,calcium,0.04499999999999799,Waste Constituent Density,kg/m3,lithium,baseline
well_field,calcium,2.0525922,Inlet Constituent Total Mass,kg,lithium,baseline
well_field,calcium,2.052571674078,Outlet Constituent Total Mass,kg,lithium,baseline
well_field,calcium,2.0525922000000003e-05,Waste Constituent Total Mass,kg,lithium,baseline
well_field,chloride,72.6,Inlet Constituent Density,kg/m3,lithium,baseline
well_field,chloride,72.60653465346535,Outlet Constituent Density,kg/m3,lithium,baseline
well_field,chloride,7.259999999999675,Waste Constituent Density,kg/m3,lithium,baseline
well_field,chloride,331.1515416,Inlet Constituent Total Mass,kg,lithium,baseline
well_field,chloride,331.148230084584,Outlet Constituent Total Mass,kg,lithium,baseline
well_field,chloride,0.0033115154159999998,Waste Constituent Total Mass,kg,lithium,baseline
well_field,magnesium,0.19,Inlet Constituent Density,kg/m3,lithium,baseline
