Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
water_pumping_station,Electricity Intensity Unit Inlet,3.349046015712686e-07,Electricity,kwh/m3,hrsd,baseline
water_pumping_station,Electricity Intensity System Treated,3.881970094488012e-07,Electricity,kwh/m3,hrsd,baseline
water_pumping_station,Unit Levelized Cost,0.0042577116396913,LCOW,$/m3,hrsd,baseline
water_pumping_station,Fixed Capital Investment (FCI),1.0379975091332547,Cost,$MM,hrsd,baseline
water_pumping_station,Land,0.0015569962636998822,Cost,$MM,hrsd,baseline
water_pumping_station,Working Capital,0.05189987545666274,Cost,$MM,hrsd,baseline
water_pumping_station,Total Capital Investment (TCI),1.0914543808536172,Cost,$MM,hrsd,baseline
water_pumping_station,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Electricity,5.342092430178624e-07,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Other Operating,0.0,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Employee Salaries,0.0005473823633753843,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Benefits,0.0004926441270378458,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Maintenance,0.008303980073066038,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Laboratory,0.0031139925273997644,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Insurance and Taxes,0.0020759950182665096,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Total Fixed Operating ,0.014533994109145541,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Base Employee Salary,0.00043608648894187925,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Electricity,5.342092430178624e-07,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Annual O&M Costs,0.01453452831838856,Annual Cost,$MM/yr,hrsd,baseline
water_pumping_station,Inlet Water,0.737897,Water Flow,m3/s,hrsd,baseline
water_pumping_station,Outlet Water,0.7378232103000001,Water Flow,m3/s,hrsd,baseline
water_pumping_station,Waste Water,7.378969999993767e-05,Water Flow,m3/s,hrsd,baseline
water_pumping_station,toc,0.006,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,toc,0.0060005400540054,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,toc,0.0006000000000005068,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,toc,0.0044273820000000005,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,toc,0.004427337726180001,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,toc,4.4273820000000005e-08,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,294.1962,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,294.22268030603055,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,29.41962000002485,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,217.08649339139998,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,217.08432252646608,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,0.002170864933914,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,tss,0.006525,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,tss,0.006525587308730873,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,tss,0.0006525000000005512,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,tss,0.004814777925,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,tss,0.004814729777220751,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,tss,4.814777925e-08,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,tds,0.63,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,tds,0.630056705670567,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,tds,0.06300000000005321,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,tds,0.46487511000000004,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,tds,0.4648704612489,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,tds,4.6487510999999995e-06,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,nitrate,0.01,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,nitrate,0.010000900090009,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,nitrate,0.0010000000000008446,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,nitrate,0.00737897,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,nitrate,0.007378896210300001,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,nitrate,7.37897e-08,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,boron,0.0004,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,boron,0.00040003600360036,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,boron,4.000000000003379e-05,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,boron,0.0002951588,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,boron,0.000295155848412,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,boron,2.9515880000000003e-09,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,selenium,1.06e-06,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,selenium,1.0600954095409542e-06,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,selenium,1.0600000000008953e-07,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,selenium,7.8217082e-07,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,selenium,7.821629982918001e-07,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,selenium,7.821708199999999e-12,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,aluminum,6.16e-06,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,aluminum,6.160554455445545e-06,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,aluminum,6.160000000005203e-07,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,aluminum,4.5454455200000005e-06,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,aluminum,4.545400065544801e-06,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,aluminum,4.54544552e-11,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,arsenic,0.01,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,arsenic,0.010000900090009,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,arsenic,0.0010000000000008446,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,arsenic,0.00737897,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,arsenic,0.007378896210300001,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,arsenic,7.37897e-08,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,barium,4.52e-05,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,barium,4.520406840684068e-05,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,barium,4.520000000003818e-06,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,barium,3.3352944400000004e-05,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,barium,3.3352610870556005e-05,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,barium,3.3352944400000005e-10,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,bromide,1e-06,Inlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,bromide,1.0000900090009e-06,Outlet Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,bromide,1.0000000000008445e-07,Waste Constituent Density,kg/m3,hrsd,baseline
water_pumping_station,bromide,7.37897e-07,Inlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,bromide,7.3788962103e-07,Outlet Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,bromide,7.37897e-12,Waste Constituent Total Mass,kg,hrsd,baseline
water_pumping_station,calcium,0.08045,Inlet Constituent Density,kg/m3,hrsd,baseline
