Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
water_pumping_station,Electricity Intensity Unit Inlet,3.3490460157126854e-07,Electricity,kwh/m3,ocwd,baseline
water_pumping_station,Electricity Intensity System Treated,3.769582374510134e-07,Electricity,kwh/m3,ocwd,baseline
water_pumping_station,Unit Levelized Cost,0.0034978472167535805,LCOW,$/m3,ocwd,baseline
water_pumping_station,Fixed Capital Investment (FCI),6.259884062945103,Cost,$MM,ocwd,baseline
water_pumping_station,Land,0.009389826094417655,Cost,$MM,ocwd,baseline
water_pumping_station,Working Capital,0.3129942031472552,Cost,$MM,ocwd,baseline
water_pumping_station,Total Capital Investment (TCI),6.5822680921867756,Cost,$MM,ocwd,baseline
water_pumping_station,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Electricity,7.449302739781825e-06,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Other Operating,0.0,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Employee Salaries,0.00330111594939377,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Benefits,0.002971004354454393,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Maintenance,0.05007907250356083,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Laboratory,0.01877965218883531,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Insurance and Taxes,0.012519768125890207,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Total Fixed Operating ,0.0876506131221345,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Base Employee Salary,0.0026299204363914386,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Electricity,7.449302739781825e-06,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Annual O&M Costs,0.08765806242487428,Annual Cost,$MM/yr,ocwd,baseline
water_pumping_station,Inlet Water,5.26,Water Flow,m3/s,ocwd,baseline
water_pumping_station,Outlet Water,5.259474,Water Flow,m3/s,ocwd,baseline
water_pumping_station,Waste Water,0.0005259999999998044,Water Flow,m3/s,ocwd,baseline
water_pumping_station,toc,0.00953,Inlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,toc,0.009530857785778578,Outlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,toc,0.0009530000000003545,Waste Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,toc,0.0501278,Inlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,toc,0.050127298722,Outlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,toc,5.012780000000001e-07,Waste Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,294.1962,Inlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,294.22268030603055,Outlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,29.41962000001094,Waste Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,1547.4720119999997,Inlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,1547.4565372798797,Outlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,total_coliforms_fecal_ecoli,0.01547472012,Waste Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,tss,0.006525,Inlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,tss,0.006525587308730872,Outlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,tss,0.0006525000000002427,Waste Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,tss,0.0343215,Inlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,tss,0.034321156784999994,Outlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,tss,3.4321500000000005e-07,Waste Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,tds,0.98555,Inlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,tds,0.985638708370837,Outlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,tds,0.09855500000003667,Waste Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,tds,5.183993,Inlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,tds,5.18394116007,Outlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,tds,5.1839930000000014e-05,Waste Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,boron,0.0004,Inlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,boron,0.00040003600360036,Outlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,boron,4.000000000001488e-05,Waste Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,boron,0.002104,Inlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,boron,0.00210397896,Outlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,boron,2.1040000000000002e-08,Waste Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,selenium,1.06e-06,Inlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,selenium,1.060095409540954e-06,Outlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,selenium,1.0600000000003944e-07,Waste Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,selenium,5.5756e-06,Inlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,selenium,5.575544243999999e-06,Outlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,selenium,5.575600000000001e-11,Waste Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,aluminum,6.16e-06,Inlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,aluminum,6.160554455445545e-06,Outlet Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,aluminum,6.160000000002291e-07,Waste Constituent Density,kg/m3,ocwd,baseline
water_pumping_station,aluminum,3.24016e-05,Inlet Constituent Total Mass,kg,ocwd,baseline
water_pumping_station,aluminum,3.2401275984e-05,Outlet Constituent Total Mass,kg,ocwd,baseline
