Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
onsite_storage,Electricity Intensity Unit Inlet,0.0,Electricity,kwh/m3,big_spring,dwi_b
onsite_storage,Electricity Intensity System Treated,0.0,Electricity,kwh/m3,big_spring,dwi_b
onsite_storage,Unit Levelized Cost,0.061559384531499985,LCOW,$/m3,big_spring,dwi_b
onsite_storage,Fixed Capital Investment (FCI),1.5595897850066665,Cost,$MM,big_spring,dwi_b
onsite_storage,Land,0.00233938467751,Cost,$MM,big_spring,dwi_b
onsite_storage,Working Capital,0.07797948925033332,Cost,$MM,big_spring,dwi_b
onsite_storage,Total Capital Investment (TCI),1.6399086589345098,Cost,$MM,big_spring,dwi_b
onsite_storage,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Electricity,0.0,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Other Operating,0.0,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Employee Salaries,0.0008224412244745206,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Benefits,0.0007401971020270686,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Maintenance,0.012476718280053332,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Laboratory,0.00467876935502,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Insurance and Taxes,0.003119179570013333,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Total Fixed Operating ,0.021837305531588254,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Base Employee Salary,0.0006552193310185163,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Electricity,0.0,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Annual O&M Costs,0.021837305531588254,Annual Cost,$MM/yr,big_spring,dwi_b
onsite_storage,Inlet Water,0.075,Water Flow,m3/s,big_spring,dwi_b
onsite_storage,Outlet Water,0.0749925,Water Flow,m3/s,big_spring,dwi_b
onsite_storage,Waste Water,7.499999999993623e-06,Water Flow,m3/s,big_spring,dwi_b
onsite_storage,bromide,1e-06,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,bromide,1.0000900090009e-06,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,bromide,1.0000000000008503e-07,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,bromide,7.5e-08,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,bromide,7.499925e-08,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,bromide,7.5e-13,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,calcium,0.08045,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,calcium,0.0804572412241224,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,calcium,0.00804500000000684,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,calcium,0.006033749999999999,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,calcium,0.006033689662499999,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,calcium,6.03375e-08,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,chloride,0.29792,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,chloride,0.29794681548154817,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,chloride,0.029792000000025333,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,chloride,0.022344,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,chloride,0.02234377656,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,chloride,2.2344000000000002e-07,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,fluoride,0.00097,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,fluoride,0.0009700873087308731,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,fluoride,9.700000000008248e-05,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,fluoride,7.275e-05,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,fluoride,7.27492725e-05,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,fluoride,7.275e-10,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,magnesium,0.02701,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,magnesium,0.02701243114311431,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,magnesium,0.0027010000000022966,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,magnesium,0.0020257499999999998,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,magnesium,0.0020257297425,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,magnesium,2.02575e-08,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,potassium,0.01897,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,potassium,0.018971707470747074,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,potassium,0.001897000000001613,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,potassium,0.00142275,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,potassium,0.0014227357725,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,potassium,1.4227500000000001e-08,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,silicon,0.02104,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,silicon,0.021041893789378936,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,silicon,0.002104000000001789,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,silicon,0.001578,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,silicon,0.00157798422,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,silicon,1.578e-08,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,sodium,0.23158,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,sodium,0.2316008442844284,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,sodium,0.02315800000001969,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,sodium,0.0173685,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,sodium,0.017368326314999998,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,sodium,1.73685e-07,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,sulfate,0.188,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,sulfate,0.18801692169216921,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,sulfate,0.018800000000015984,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,sulfate,0.0141,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,sulfate,0.014099859000000001,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,sulfate,1.41e-07,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,tds,2.257,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,tds,2.2572031503150316,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,tds,0.22570000000019194,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,tds,0.169275,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,tds,0.16927330725,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,tds,1.6927500000000002e-06,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,toc,0.00953,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,toc,0.009530857785778578,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,toc,0.0009530000000008103,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,toc,0.00071475,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,toc,0.0007147428525,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,toc,7.1475e-09,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,tss,0.00653,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,tss,0.006530587758775877,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,tss,0.0006530000000005553,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,tss,0.00048975,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,tss,0.0004897451025,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,tss,4.8975000000000005e-09,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,bod,3.178625001707072e-40,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,bod,3.17891110656771e-40,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,bod,3.1786250017097735e-41,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,bod,2.3839687512803037e-41,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,bod,2.38394491159279e-41,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,bod,2.383968751280303e-46,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,total_coliforms_fecal_ecoli,294.19623,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,total_coliforms_fecal_ecoli,294.2227103087309,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,total_coliforms_fecal_ecoli,29.419623000025016,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,total_coliforms_fecal_ecoli,22.06471725,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,total_coliforms_fecal_ecoli,22.0644966028275,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,total_coliforms_fecal_ecoli,0.00022064717250000002,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,nitrate,3.178625001707072e-40,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,nitrate,3.17891110656771e-40,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,nitrate,3.1786250017097735e-41,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,nitrate,2.3839687512803037e-41,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,nitrate,2.38394491159279e-41,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,nitrate,2.383968751280303e-46,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,boron,0.0004,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,boron,0.00040003600360036,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,boron,4.000000000003401e-05,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,boron,3e-05,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,boron,2.99997e-05,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,boron,3e-10,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,selenium,1.06e-06,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,selenium,1.0600954095409542e-06,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,selenium,1.0600000000009014e-07,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,selenium,7.95e-08,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,selenium,7.9499205e-08,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,selenium,7.95e-13,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,aluminum,6.16e-06,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,aluminum,6.160554455445544e-06,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,aluminum,6.160000000005238e-07,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,aluminum,4.62e-07,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,aluminum,4.6199538e-07,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,aluminum,4.62e-12,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,arsenic,5.1e-07,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,arsenic,5.10045904590459e-07,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,arsenic,5.1000000000043364e-08,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,arsenic,3.8249999999999995e-08,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,arsenic,3.82496175e-08,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,arsenic,3.825e-13,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,barium,4.52e-05,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,barium,4.520406840684068e-05,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,barium,4.520000000003844e-06,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,barium,3.39e-06,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,barium,3.3899661e-06,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,barium,3.39e-11,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,chromium,1.9e-07,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,chromium,1.90017101710171e-07,Outlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,chromium,1.9000000000016155e-08,Waste Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,chromium,1.425e-08,Inlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,chromium,1.42498575e-08,Outlet Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,chromium,1.425e-13,Waste Constituent Total Mass,kg,big_spring,dwi_b
onsite_storage,cyanide_as_free,2.67e-06,Inlet Constituent Density,kg/m3,big_spring,dwi_b
onsite_storage,cyanide_as_free,2.670240324032403e-06,Outlet Constituent Density,kg/m3,big_spring,dwi_b
