eqn,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pct_deviation,date_modified,r_squared,max_size,min_size,
back_pump_eq,0,0,0,0,0,0,0,-0.000467922,12.09884477,6672.346155,13.37%, 6/21/2017 4:05:02 PM,0.9320,10001,0,
bldg_hi_eq,324.1826469,-0.132300065,0,0,0,0,0,0,0,0,3.99%, 6/23/2017 3:04:02 PM,0.9529,200000.1,0,
bldg_lo_eq,150.4663907,-0.096925794,0,0,0,0,0,0,0,0,2.55%, 6/23/2017 3:03:10 PM,0.9671,200000.1,0,
bldg_mid_eq,184.6789937,-0.09824021,0,0,0,0,0,0,0,0,2.75%, 6/23/2017 3:03:32 PM,0.9639,200000.1,0,
ci_bfv_eq_large,50.76512698,1.589939094,0,0,0,0,0,0,0,0,6.05%, 6/21/2017 3:59:11 PM,0.9891,48.1,14,
ci_bfv_eq_small,0,0,0,0,0,0,-0.443473112,12.76880242,121.7001439,29.97208276,4.42%, 6/21/2017 3:58:12 PM,0.9902,12,1,
ci_chv_eq,0,0,0,0,0,0,0.998552278,-6.098668912,403.850148,-514.9922671,10.50%, 6/21/2017 4:03:19 PM,0.9943,24.1,2,
ci_mov_eq,0,0,0,0,0,0,-0.064880837,28.44450095,68.99684845,1015.350532,9.87%, 6/23/2017 10:28:52 AM,0.9702,48.1,1,
cont_bot_add_eq,0,0,0,0,0,0,0.00001998,-0.024614654,51.96815683,1470.452248,3.33%, 6/23/2017 1:30:34 PM,0.9950,1001,0,cont_bot_add_eq
cont_bot_eq,0,0,0,0,0,0,-0.000004382,0.01083286,40.54952974,36589.05281,0.81%, 6/23/2017 1:29:41 PM,0.9989,1001,0,cont_bot_eq
cont_top_eq,0,0,0,0,24952.40066,0.059381778,0,0,0,0,4.95%, 6/23/2017 1:30:54 PM,0.9852,31,0,cont_top_eq
cpvc_pipe_eq,0,0,0,0,0,0,0.00925292,0.543237018,3.024366182,0.944771283,9.95%, 6/21/2017 12:21:08 PM,0.9970,18.1,0,
cs_pv_eq,0,0,0,0,0,0,0,-0.00005872,10.51093861,14726.68155,14.00%, 6/20/2017 11:44:20 AM,0.9831,27101,0,Carbon Steel - Stainless Internals
csp_pv_eq,0,0,0,0,0,0,0.000000005,-0.000159072,6.568048146,9906.477485,7.30%, 6/20/2017 11:44:43 AM,0.9979,27101,0,Carbon Steel - Plastic Internals
di_pipe_eq,0,0,0,0,0,0,0,0.0947759,4.790327955,11.72851845,5.56%, 6/21/2017 10:56:31 AM,0.9898,48.1,4,
fg_bwt_eq,0,0,0,0,0,0,0,-0.000008895,1.587245247,5286.135896,20.34%, 6/20/2017 12:02:28 PM,0.8961,50001,0,fiberglass backwash tank
fg_cst_eq,0,0,0,0,0,0,0,-0.000023101,1.74137529,4585.483585,15.41%, 6/20/2017 12:10:04 PM,0.8865,30001,0,
fg_pv_eq,0,0,0,0,0,0,0,-0.00057214,18.63957594,756.3454469,2.30%, 6/20/2017 11:51:53 AM,0.9988,901,0,Fiberglass
gac_eq,0,0,0,0,0,0,0,0,-0.000006341,1.904824233,0.07%, 6/23/2017 1:27:52 PM,0.9999,40000,0,GAC equation
gac_slurry_eq,0,0,0,0,0,0,0,0.000022497,0.043621634,7143.934346,0.00%, 6/21/2017 4:10:39 PM,1.0000,31242,0,
hdpe_bwt_eq,0,0,0,0,0,0,0,-0.000007082,1.020527551,1185.361283,20.80%, 6/20/2017 12:04:08 PM,0.8928,15001,0,HDPE backwash tank
hvac_ac_eq,2517.03808,1.168812894,0,0,0,0,0,0,0,0,4.44%, 10/17/2017 10:32:24 AM,0.9941,113.33,0,
hvac_elec_eq,1399.015433,0.752486412,0,0,0,0,0,0,0,0,19.94%, 10/17/2017 10:33:04 AM,0.9723,6148.1,0,
hvac_gas_eq,780.319943,0.778810032,0,0,0,0,0,0,0,0,13.37%, 10/17/2017 10:34:00 AM,0.9423,5032.1,0,
