case_study,units,calculation_type,unit_process,value,constituent,scenario,reference,ref,constituent_longform
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,bicarbonate_alkalinity_as_caco3,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,bromide,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,calcium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,chloride,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,fluoride,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,magnesium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,potassium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,silicon,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,sodium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,strontium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,sulfate,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
ashkelon,kg/m3,fractional_constituent_removal,ro_deep,0.992881,tds,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,bicarbonate_alkalinity_as_caco3,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,bromide,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,calcium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,chloride,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,fluoride,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,magnesium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,potassium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,silicon,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,sodium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,strontium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,sulfate,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,tds,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.9,toc,baseline,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
ashkelon,kg/m3,fractional_constituent_removal,reverse_osmosis,0.992881,tss,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,bicarbonate_alkalinity_as_caco3,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,bromide,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,calcium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,chloride,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,fluoride,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,magnesium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,potassium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,silicon,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,sodium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,strontium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,sulfate,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.973097,tds,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
big_spring,kg/m3,fractional_constituent_removal,ro_deep,0.9,toc,baseline,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
big_spring,kg/m3,fractional_constituent_removal,reverse_osmosis,0.973097,bicarbonate_alkalinity_as_caco3,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
big_spring,kg/m3,fractional_constituent_removal,reverse_osmosis,0.973097,bromide,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
big_spring,kg/m3,fractional_constituent_removal,reverse_osmosis,0.973097,calcium,baseline,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
