CaseStudy,Reference,Scenario,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
carlsbad,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration,ro_pass,outlet,
carlsbad,nawi,baseline,reverse_osmosis,treatment,ro_pass,"lime_softening,ro_stage","outlet,waste",{'erd': 'no'}
carlsbad,nawi,baseline,reverse_osmosis,treatment,ro_stage,lime_softening,outlet,{'erd': 'yes'}
carlsbad,nawi,baseline,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
carlsbad,nawi,baseline,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
carlsbad,nawi,baseline,caustic_soda_addition,treatment,caustic_soda_addition,treated_storage,outlet,{'dose': 30}
carlsbad,nawi,baseline,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
carlsbad,nawi,baseline,backwash_solids_handling,treatment,backwash_solids_handling,landfill,waste,{'recovery': 0.95}
carlsbad,nawi,baseline,municipal_drinking,use,municipal_drinking,,,
carlsbad,nawi,baseline,surface_discharge,waste,surface_discharge,,,
carlsbad,nawi,baseline,landfill,waste,landfill,,,
,,,,,,,,
carlsbad,nawi,one_ro,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
carlsbad,nawi,one_ro,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
carlsbad,nawi,one_ro,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
carlsbad,nawi,one_ro,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
carlsbad,nawi,one_ro,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
carlsbad,nawi,one_ro,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
carlsbad,nawi,one_ro,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
carlsbad,nawi,one_ro,reverse_osmosis,treatment,ro_first_pass,lime_softening,outlet,{'erd': 'yes'}
carlsbad,nawi,one_ro,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
carlsbad,nawi,one_ro,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
carlsbad,nawi,one_ro,caustic_soda_addition,treatment,caustic_soda_addition,treated_storage,outlet,{'dose': 30}
carlsbad,nawi,one_ro,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
carlsbad,nawi,one_ro,backwash_solids_handling,treatment,backwash_solids_handling,landfill,waste,{'recovery': 0.95}
carlsbad,nawi,one_ro,municipal_drinking,use,municipal_drinking,,,
carlsbad,nawi,one_ro,surface_discharge,waste,surface_discharge,,,
carlsbad,nawi,one_ro,landfill,waste,landfill,,,
,,,,,,,,
tampa_bay,nawi,baseline,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
tampa_bay,nawi,baseline,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
tampa_bay,nawi,baseline,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
tampa_bay,nawi,baseline,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
tampa_bay,nawi,baseline,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
tampa_bay,nawi,baseline,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
tampa_bay,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
tampa_bay,nawi,baseline,reverse_osmosis,treatment,ro_first_pass,"lime_softening,ro_second_pass","outlet,outlet","{'erd': 'yes',  'split_fraction': [0.67, 0.33]}"
tampa_bay,nawi,baseline,reverse_osmosis,treatment,ro_second_pass,lime_softening,outlet,{'erd': 'yes'}
tampa_bay,nawi,baseline,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
tampa_bay,nawi,baseline,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
tampa_bay,nawi,baseline,caustic_soda_addition,treatment,caustic_soda_addition,ammonia_addition,outlet,{'dose': 30}
tampa_bay,nawi,baseline,ammonia_addition,treatment,ammonia_addition,treated_storage,outlet,{'dose': 3}
tampa_bay,nawi,baseline,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 6}
tampa_bay,nawi,baseline,backwash_solids_handling,treatment,backwash_solids_handling,"landfill,landfill","outlet,waste",{'recovery': 0.95}
tampa_bay,nawi,baseline,municipal_drinking,use,municipal_drinking,,,
tampa_bay,nawi,baseline,surface_discharge,waste,surface_discharge,,,
tampa_bay,nawi,baseline,landfill,waste,landfill,,,
,,,,,,,,
tampa_bay,nawi,one_ro,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
tampa_bay,nawi,one_ro,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
tampa_bay,nawi,one_ro,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
tampa_bay,nawi,one_ro,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
tampa_bay,nawi,one_ro,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
tampa_bay,nawi,one_ro,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
tampa_bay,nawi,one_ro,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
tampa_bay,nawi,one_ro,reverse_osmosis,treatment,ro_first_pass,lime_softening,outlet,{'erd': 'yes'}
tampa_bay,nawi,one_ro,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
tampa_bay,nawi,one_ro,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
tampa_bay,nawi,one_ro,caustic_soda_addition,treatment,caustic_soda_addition,ammonia_addition,outlet,{'dose': 30}
tampa_bay,nawi,one_ro,ammonia_addition,treatment,ammonia_addition,treated_storage,outlet,{'dose': 3}
tampa_bay,nawi,one_ro,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 6}
tampa_bay,nawi,one_ro,backwash_solids_handling,treatment,backwash_solids_handling,"landfill,landfill","outlet,waste",{'recovery': 0.95}
tampa_bay,nawi,one_ro,municipal_drinking,use,municipal_drinking,,,
tampa_bay,nawi,one_ro,surface_discharge,waste,surface_discharge,,,
tampa_bay,nawi,one_ro,landfill,waste,landfill,,,
,,,,,,,,
santa_barbara,nawi,baseline,sw_onshore_intake,intake,sw_onshore_intake,ferric_chloride_addition,outlet,{'water_type': ['seawater']}
santa_barbara,nawi,baseline,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
santa_barbara,nawi,baseline,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
santa_barbara,nawi,baseline,static_mixer,treatment,static_mixer,holding_tank,outlet,
santa_barbara,nawi,baseline,treated_storage,treatment,holding_tank,media_filtration,outlet,{'hours': 2}
santa_barbara,nawi,baseline,basic_unit,treatment,media_filtration,"anti_scalant_addition,backwash_solids_handling","outlet,waste",{'unit_process_name': 'media_filtration'}
santa_barbara,nawi,baseline,anti_scalant_addition,treatment,anti_scalant_addition,cartridge_filtration,outlet,{'dose': 5}
santa_barbara,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration,reverse_osmosis,outlet,
santa_barbara,nawi,baseline,reverse_osmosis,treatment,reverse_osmosis,holding_tank_b,outlet,{'erd': 'yes'}
santa_barbara,nawi,baseline,treated_storage,treatment,holding_tank_b,uv_aop,outlet,{'hours': 1}
santa_barbara,nawi,baseline,uv_aop,treatment,uv_aop,co2_addition,outlet,"{'chemical_name': 'Hydrogen_Peroxide', 'dose': 5, 'uv_dose': 350, 'aop': True, 'uvt_in': 0.95}"
santa_barbara,nawi,baseline,co2_addition,treatment,co2_addition,lime_addition,outlet,
santa_barbara,nawi,baseline,lime_addition,treatment,lime_addition,treated_storage,outlet,{'lime': 2.3}
santa_barbara,nawi,baseline,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
santa_barbara,nawi,baseline,backwash_solids_handling,treatment,backwash_solids_handling,"landfill,landfill","outlet,waste",
santa_barbara,nawi,baseline,landfill,waste,landfill,,,
santa_barbara,nawi,baseline,municipal_drinking,use,municipal_drinking,,,
,,,,,,,,
BRACKISH,,,,,,,,
,,,,,,,,
emwd,nawi,baseline,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], 'pipe_distance': 70, 'pump': 'yes'}"
emwd,nawi,baseline,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration_a,"menifee_a,menifee_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,baseline,reverse_osmosis,treatment,menifee_a,decarbonator_a,outlet,{'erd': 'no'}
emwd,nawi,baseline,reverse_osmosis,treatment,menifee_b,decarbonator_a,outlet,{'erd': 'no'}
emwd,nawi,baseline,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration_b,"perris_i_a,perris_i_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,baseline,reverse_osmosis,treatment,perris_i_a,decarbonator_b,outlet,{'erd': 'no'}
emwd,nawi,baseline,reverse_osmosis,treatment,perris_i_b,decarbonator_b,outlet,{'erd': 'no'}
emwd,nawi,baseline,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,baseline,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,baseline,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 3}
emwd,nawi,baseline,municipal_drinking,use,municipal_drinking,,,
emwd,nawi,baseline,surface_discharge,waste,surface_discharge,,,"{'pipe_distance': 70,  'pipe_cost_case': 'emwd'}"
,,,,,,,,
emwd,nawi,dwi,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], 'pipe_distance': 70, 'pump': 'yes'}"
emwd,nawi,dwi,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,dwi,cartridge_filtration,treatment,cartridge_filtration_a,"menifee_a,menifee_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,dwi,reverse_osmosis,treatment,menifee_a,"decarbonator_a,deep_well_injection","outlet,waste",{'erd': 'no'}
emwd,nawi,dwi,reverse_osmosis,treatment,menifee_b,"decarbonator_a,deep_well_injection","outlet,waste",{'erd': 'no'}
emwd,nawi,dwi,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,dwi,cartridge_filtration,treatment,cartridge_filtration_b,"perris_i_a,perris_i_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,dwi,reverse_osmosis,treatment,perris_i_a,"decarbonator_b,deep_well_injection","outlet,waste",{'erd': 'no'}
emwd,nawi,dwi,reverse_osmosis,treatment,perris_i_b,"decarbonator_b,deep_well_injection","outlet,waste",{'erd': 'no'}
emwd,nawi,dwi,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,dwi,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,dwi,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 3}
emwd,nawi,dwi,municipal_drinking,use,municipal_drinking,,,
emwd,nawi,dwi,deep_well_injection,waste,deep_well_injection,,,"{'pipe_distance': 70, 'lift_height': 400}"
,,,,,,,,
emwd,nawi,zld_a,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], 'pipe_distance': 70, 'pump': 'yes'}"
emwd,nawi,zld_a,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,zld_a,cartridge_filtration,treatment,cartridge_filtration_a,menifee_first_pass,outlet,
emwd,nawi,zld_a,reverse_osmosis,treatment,menifee_first_pass,"decarbonator_a,passthrough_a","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_a,basic_unit,treatment,passthrough_a,lime_softening_a,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_a,lime_softening,treatment,lime_softening_a,menifee_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_a,reverse_osmosis,treatment,menifee_second_pass,"decarbonator_a,evaporation_pond","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_a,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_a,cartridge_filtration,treatment,cartridge_filtration_b,perris_i_first_pass,outlet,
emwd,nawi,zld_a,reverse_osmosis,treatment,perris_i_first_pass,"decarbonator_b,passthrough_b","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_a,basic_unit,treatment,passthrough_b,lime_softening_b,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_a,lime_softening,treatment,lime_softening_b,perris_i_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_a,reverse_osmosis,treatment,perris_i_second_pass,"decarbonator_b,evaporation_pond","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_a,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_a,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,zld_a,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 3}
emwd,nawi,zld_a,evaporation_pond,treatment,evaporation_pond,landfill_zld,waste,{'approach': 'wt3'}
emwd,nawi,zld_a,municipal_drinking,use,municipal_drinking,,,
emwd,nawi,zld_a,landfill_zld,waste,landfill_zld,,,
,,,,,,,,
emwd,nawi,zld_b,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], 'pipe_distance': 70, 'pump': 'yes'}"
emwd,nawi,zld_b,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,zld_b,cartridge_filtration,treatment,cartridge_filtration_a,menifee_first_pass,outlet,
emwd,nawi,zld_b,reverse_osmosis,treatment,menifee_first_pass,"decarbonator_a,passthrough_a","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_b,basic_unit,treatment,passthrough_a,lime_softening_a,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_b,lime_softening,treatment,lime_softening_a,menifee_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_b,reverse_osmosis,treatment,menifee_second_pass,"decarbonator_a,brine_concentrator","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_b,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_b,cartridge_filtration,treatment,cartridge_filtration_b,perris_i_first_pass,outlet,
emwd,nawi,zld_b,reverse_osmosis,treatment,perris_i_first_pass,"decarbonator_b,passthrough_b","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_b,basic_unit,treatment,passthrough_b,lime_softening_b,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_b,lime_softening,treatment,lime_softening_b,perris_i_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_b,reverse_osmosis,treatment,perris_i_second_pass,"decarbonator_b,brine_concentrator","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_b,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_b,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,zld_b,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 3}
emwd,nawi,zld_b,brine_concentrator,treatment,brine_concentrator,"treated_storage,evaporation_pond","outlet,waste",
emwd,nawi,zld_b,evaporation_pond,treatment,evaporation_pond,landfill_zld,waste,{'approach': 'wt3'}
emwd,nawi,zld_b,municipal_drinking,use,municipal_drinking,,,
emwd,nawi,zld_b,landfill_zld,waste,landfill_zld,,,
,,,,,,,,
emwd,nawi,zld_c,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], 'pipe_distance': 70, 'pump': 'yes'}"
emwd,nawi,zld_c,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,zld_c,cartridge_filtration,treatment,cartridge_filtration_a,menifee_first_pass,outlet,
emwd,nawi,zld_c,reverse_osmosis,treatment,menifee_first_pass,"decarbonator_a,passthrough_a","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_c,basic_unit,treatment,passthrough_a,lime_softening_a,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_c,lime_softening,treatment,lime_softening_a,menifee_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_c,reverse_osmosis,treatment,menifee_second_pass,"decarbonator_a,brine_concentrator","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_c,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_c,cartridge_filtration,treatment,cartridge_filtration_b,perris_i_first_pass,outlet,
emwd,nawi,zld_c,reverse_osmosis,treatment,perris_i_first_pass,"decarbonator_b,passthrough_b","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_c,basic_unit,treatment,passthrough_b,lime_softening_b,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_c,lime_softening,treatment,lime_softening_b,perris_i_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_c,reverse_osmosis,treatment,perris_i_second_pass,"decarbonator_b,brine_concentrator","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_c,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_c,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,zld_c,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 3}
emwd,nawi,zld_c,brine_concentrator,treatment,brine_concentrator,"treated_storage,crystallizer","outlet,waste",
emwd,nawi,zld_c,crystallizer,treatment,crystallizer,landfill_zld,outlet,{'approach': 'wt3'}
emwd,nawi,zld_c,municipal_drinking,use,municipal_drinking,,,
emwd,nawi,zld_c,landfill_zld,waste,landfill_zld,,,
,,,,,,,,
irwin,nawi,baseline,well_field,intake,well_field,holding_tank,outlet,{'water_type': ['brackish']}
irwin,nawi,baseline,holding_tank,treatment,holding_tank,untreated_pump_station,outlet,"{'avg_storage_time': 24, 'surge_cap': 0.2}"
irwin,nawi,baseline,water_pumping_station,treatment,untreated_pump_station,cartridge_filtration,outlet,"{'pump_type': 'raw', 'lift_height': 100}"
irwin,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration,hydrochloric_acid_addition,outlet,
irwin,nawi,baseline,hydrochloric_acid_addition,treatment,hydrochloric_acid_addition,anti_scalant_addition,outlet,{'dose': 10}
irwin,nawi,baseline,anti_scalant_addition,treatment,anti_scalant_addition,sodium_bisulfite_addition,outlet,{'dose': 5}
irwin,nawi,baseline,sodium_bisulfite_addition,treatment,sodium_bisulfite_addition,electrodialysis_reversal,outlet,{'dose': 10}
irwin,nawi,baseline,electrodialysis_reversal,treatment,electrodialysis_reversal,"treated_storage,degasifier","outlet,waste",
irwin,nawi,baseline,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 6}
irwin,nawi,baseline,basic_unit,treatment,degasifier,waste_pump_station,outlet,{'unit_process_name': 'decarbonator'}
irwin,nawi,baseline,water_pumping_station,treatment,waste_pump_station,lime_solids_clarifier,outlet,"{'pump_type': 'treated', 'lift_height': 100}"
irwin,nawi,baseline,basic_unit,treatment,lime_solids_clarifier,mf_pump_station,outlet,{'unit_process_name': 'clarifier'}
irwin,nawi,baseline,water_pumping_station,treatment,mf_pump_station,microfiltration,outlet,"{'pump_type': 'treated', 'lift_height': 100}"
irwin,nawi,baseline,microfiltration,treatment,microfiltration,"reverse_osmosis,ion_exchange","outlet,waste",
irwin,nawi,baseline,reverse_osmosis,treatment,reverse_osmosis,"holding_tank,ion_exchange","outlet,waste",{'erd': 'no'}
irwin,nawi,baseline,anion_exchange,treatment,ion_exchange,"bc_pump_station,lagoon_pump_station","outlet,waste",
irwin,nawi,baseline,water_pumping_station,treatment,bc_pump_station,brine_concentrator,outlet,"{'pump_type': 'treated', 'lift_height': 100}"
irwin,nawi,baseline,water_pumping_station,treatment,lagoon_pump_station,lime_softening,outlet,"{'pump_type': 'treated', 'lift_height': 100}"
irwin,nawi,baseline,brine_concentrator,treatment,brine_concentrator,"holding_tank,lime_softening","outlet,waste",
irwin,nawi,baseline,lime_softening,treatment,lime_softening,evaporation_pond,outlet,{'lime': 100}
irwin,nawi,baseline,evaporation_pond,treatment,evaporation_pond,landfill_zld,waste,{'approach': 'wt3'}
irwin,nawi,baseline,municipal_drinking,use,municipal_drinking,,,
irwin,nawi,baseline,landfill_zld,waste,landfill_zld,,,
,,,,,,,,
kbhdp,nawi,baseline,well_field,intake,well_field,"caustic_soda_addition,media_filtration","outlet,outlet","{'water_type': ['kbhdp_brackish_ave'], 'split_fraction': [0.393, 0.607]}"
kbhdp,nawi,baseline,media_filtration,treatment,media_filtration,cartridge_filtration,outlet,
kbhdp,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration,anti_scalant_addition,outlet,
kbhdp,nawi,baseline,anti_scalant_addition,treatment,anti_scalant_addition,ro_first_stage,outlet,{'dose': 5}
kbhdp,nawi,baseline,reverse_osmosis,treatment,ro_first_stage,"caustic_soda_addition,ro_second_stage","outlet,waste",{'erd': 'no'}
kbhdp,nawi,baseline,reverse_osmosis,treatment,ro_second_stage,"caustic_soda_addition,deep_well_injection","outlet,waste",{'erd': 'no'}
kbhdp,nawi,baseline,caustic_soda_addition,treatment,caustic_soda_addition,chlorination,outlet,{'dose': 30}
kbhdp,nawi,baseline,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
