CaseStudy,Reference,Scenario,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
,,,,,,,,
SEAWATER ,,,,,,,,
,,,,,,,,
ashkelon,nawi,baseline,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
ashkelon,nawi,baseline,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
ashkelon,nawi,baseline,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
ashkelon,nawi,baseline,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
ashkelon,nawi,baseline,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
ashkelon,nawi,baseline,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
ashkelon,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
ashkelon,nawi,baseline,reverse_osmosis,treatment,ro_first_pass,"lime_softening,ro_first_stage","outlet,waste",{'erd': 'no'}
ashkelon,nawi,baseline,reverse_osmosis,treatment,ro_first_stage,lime_softening,outlet,{'erd': 'yes'}
ashkelon,nawi,baseline,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
ashkelon,nawi,baseline,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
ashkelon,nawi,baseline,caustic_soda_addition,treatment,caustic_soda_addition,treated_storage,outlet,{'dose': 30}
ashkelon,nawi,baseline,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
ashkelon,nawi,baseline,backwash_solids_handling,treatment,backwash_solids_handling,landfill,waste,{'recovery': 0.95}
ashkelon,nawi,baseline,municipal_drinking,use,municipal_drinking,,,
ashkelon,nawi,baseline,surface_discharge,waste,surface_discharge,,,{'pump': 'no'}
ashkelon,nawi,baseline,landfill,waste,landfill,,,
,,,,,,,,
ashkelon,nawi,one_ro,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
ashkelon,nawi,one_ro,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
ashkelon,nawi,one_ro,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
ashkelon,nawi,one_ro,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
ashkelon,nawi,one_ro,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
ashkelon,nawi,one_ro,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
ashkelon,nawi,one_ro,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
ashkelon,nawi,one_ro,reverse_osmosis,treatment,ro_first_pass,lime_softening,outlet,{'erd': 'yes'}
ashkelon,nawi,one_ro,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
ashkelon,nawi,one_ro,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
ashkelon,nawi,one_ro,caustic_soda_addition,treatment,caustic_soda_addition,treated_storage,outlet,{'dose': 30}
ashkelon,nawi,one_ro,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
ashkelon,nawi,one_ro,backwash_solids_handling,treatment,backwash_solids_handling,landfill,waste,{'recovery': 0.95}
ashkelon,nawi,one_ro,municipal_drinking,use,municipal_drinking,,,
ashkelon,nawi,one_ro,surface_discharge,waste,surface_discharge,,,{'pump': 'no'}
ashkelon,nawi,one_ro,landfill,waste,landfill,,,
,,,,,,,,
carlsbad,nawi,baseline,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
carlsbad,nawi,baseline,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
carlsbad,nawi,baseline,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
carlsbad,nawi,baseline,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
carlsbad,nawi,baseline,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
carlsbad,nawi,baseline,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
