eqn,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pct_deviation,date_modified,r_squared,max_size,min_size
back_pump_eq,0,0,0,0,0,0,0,-0.000467922,12.09884477,6672.346155,13.37%, 6/21/2017 4:05:02 PM,0.931958204,10001,0
bldg_hi_eq,324.1826469,-0.132300065,0,0,0,0,0,0,0,0,3.99%, 6/23/2017 3:04:02 PM,0.952922882,200000.1,0
bldg_lo_eq,150.4663907,-0.096925794,0,0,0,0,0,0,0,0,2.55%, 6/23/2017 3:03:10 PM,0.967147293,200000.1,0
bldg_mid_eq,184.6789937,-0.09824021,0,0,0,0,0,0,0,0,2.75%, 6/23/2017 3:03:32 PM,0.963882478,200000.1,0
ci_bfv_eq_large,50.76512698,1.589939094,0,0,0,0,0,0,0,0,6.05%, 6/21/2017 3:59:11 PM,0.989139908,48.1,14
ci_bfv_eq_small,0,0,0,0,0,0,-0.443473112,12.76880242,121.7001439,29.97208276,4.42%, 6/21/2017 3:58:12 PM,0.990172685,12,1
ci_chv_eq,0,0,0,0,0,0,0.998552278,-6.098668912,403.850148,-514.9922671,10.50%, 6/21/2017 4:03:19 PM,0.994272709,24.1,2
ci_mov_eq,0,0,0,0,0,0,-0.064880837,28.44450095,68.99684845,1015.350532,9.87%, 6/23/2017 10:28:52 AM,0.970249103,48.1,1
cpvc_pipe_eq,0,0,0,0,0,0,0.00925292,0.543237018,3.024366182,0.944771283,9.95%, 6/21/2017 12:21:08 PM,0.99695752,18.1,0
cs_pv_eq,0,0,0,0,0,0,0,-0.00005872,10.51093861,14726.68155,14.00%, 6/20/2017 11:44:20 AM,0.983076076,27101,0
csp_pv_eq,0,0,0,0,0,0,0.000000005,-0.000159072,6.568048146,9906.477485,7.30%, 6/20/2017 11:44:43 AM,0.997859422,27101,0
cst_heat_eq,0,0,0,0,0,0,0.000000001,-0.000024227,0.258585871,1418.580072,5.89%, 6/21/2017 10:55:41 AM,0.909005473,30001,0
cst_insul_eq,16.18343805,0.649522043,0,0,0,0,0,0,0,0,6.10%, 6/21/2017 10:55:29 AM,0.989970173,30001,0
di_pipe_eq,0,0,0,0,0,0,0,0.0947759,4.790327955,11.72851845,5.56%, 6/21/2017 10:56:31 AM,0.989821708,48.1,4
fg_bwt_eq,0,0,0,0,0,0,0,-0.000008895,1.587245247,5286.135896,20.34%, 6/20/2017 12:02:28 PM,0.896106689,50001,0
fg_cst_eq,0,0,0,0,0,0,0,-0.000023101,1.74137529,4585.483585,15.41%, 6/20/2017 12:10:04 PM,0.886530237,30001,0
fg_pv_eq,0,0,0,0,0,0,0,-0.00057214,18.63957594,756.3454469,2.30%, 6/20/2017 11:51:53 AM,0.998840364,901,0
fg_saltbox_eq,0,0,0,0,0,0,0.138344669,-20.12458004,1351.844644,15828.59327,3.56%, 6/21/2017 4:44:06 PM,0.983979441,75.1,0
gac_slurry_eq,0,0,0,0,0,0,0,0.000022497,0.043621634,7143.934346,0.00%, 6/21/2017 4:10:39 PM,1,31242,0
hdpe_bwt_eq,0,0,0,0,0,0,0,-0.000007082,1.020527551,1185.361283,20.80%, 6/20/2017 12:04:08 PM,0.892846188,15001,0
hvac_ac_eq,2517.03808,1.168812894,0,0,0,0,0,0,0,0,4.44%, 10/17/2017 10:32:24 AM,0.994059247,113.33,0
hvac_elec_eq,1399.015433,0.752486412,0,0,0,0,0,0,0,0,19.94%, 10/17/2017 10:33:04 AM,0.972280792,6148.1,0
hvac_gas_eq,780.319943,0.778810032,0,0,0,0,0,0,0,0,13.37%, 10/17/2017 10:34:00 AM,0.942319751,5032.1,0
hvac_gas_non_eq,780.319943,0.778810032,0,0,0,0,0,0,0,0,13.37%, 10/17/2017 10:33:37 AM,0.942319751,5032.1,0
hvac_hp_eq_large,2100.955742,0.874996813,0,0,0,0,0,0,0,0,5.27%, 6/23/2017 3:08:16 PM,0.986527146,50.01,12
hvac_hp_eq_small,0,0,0,0,3162.065483,0.150464002,0,0,0,0,8.95%, 6/23/2017 3:07:28 PM,0.973248113,12,0
hvac_oil_mid_eq,931.1841008,0.758949775,0,0,0,0,0,0,0,0,8.50%, 10/17/2017 10:34:48 AM,0.987963867,3350.1,0
hvac_oil_std_eq,931.1841008,0.758949775,0,0,0,0,0,0,0,0,8.50%, 10/17/2017 10:34:25 AM,0.987963867,3350.1,0
imp_mix_eq,4305.48947,0.626243436,0,0,0,0,0,0,0,0,13.45%, 6/21/2017 4:32:10 PM,0.88383983,110,0
mag_fm_eq,0,0,0,0,0,0,0,56.41874171,185.4434934,3549.646118,9.85%, 6/23/2017 1:20:53 PM,0.989238737,20.1,0
