,Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
91,chlorination,Fixed Operating,0.123,Annual Cost,$MM/yr,tampa_bay,baseline
94,chlorination,Annual O&M Costs,0.338,Annual Cost,$MM/yr,tampa_bay,baseline
95,chlorination,Inlet Water,1.927,Water Flow,m3/s,tampa_bay,baseline
96,chlorination,Outlet Water,1.927,Water Flow,m3/s,tampa_bay,baseline
97,chlorination,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
98,chlorination,tds,30.008,Inlet Constituent Density,kg/m3,tampa_bay,baseline
99,chlorination,tds,30.011,Outlet Constituent Density,kg/m3,tampa_bay,baseline
100,chlorination,tds,3.001,Waste Constituent Density,kg/m3,tampa_bay,baseline
101,chlorination,tds,57.831,Inlet Constituent Total Mass,kg,tampa_bay,baseline
102,chlorination,tds,57.83,Outlet Constituent Total Mass,kg,tampa_bay,baseline
103,chlorination,tds,0.001,Waste Constituent Total Mass,kg,tampa_bay,baseline
104,static_mixer,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
108,static_mixer,Total Capital Investment (TCI),0.116,Cost,$MM,tampa_bay,baseline
109,static_mixer,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
110,static_mixer,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
111,static_mixer,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
117,static_mixer,Fixed Operating,0.002,Annual Cost,$MM/yr,tampa_bay,baseline
120,static_mixer,Annual O&M Costs,0.002,Annual Cost,$MM/yr,tampa_bay,baseline
121,static_mixer,Inlet Water,1.927,Water Flow,m3/s,tampa_bay,baseline
122,static_mixer,Outlet Water,1.927,Water Flow,m3/s,tampa_bay,baseline
123,static_mixer,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
124,static_mixer,tds,30.011,Inlet Constituent Density,kg/m3,tampa_bay,baseline
125,static_mixer,tds,30.014,Outlet Constituent Density,kg/m3,tampa_bay,baseline
126,static_mixer,tds,3.001,Waste Constituent Density,kg/m3,tampa_bay,baseline
127,static_mixer,tds,57.83,Inlet Constituent Total Mass,kg,tampa_bay,baseline
128,static_mixer,tds,57.83,Outlet Constituent Total Mass,kg,tampa_bay,baseline
129,static_mixer,tds,0.001,Waste Constituent Total Mass,kg,tampa_bay,baseline
130,tri_media_filtration,Electricity Intensity,0.198,Electricity,kwh/m3,tampa_bay,baseline
134,tri_media_filtration,Total Capital Investment (TCI),8.068,Cost,$MM,tampa_bay,baseline
135,tri_media_filtration,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
136,tri_media_filtration,Electricity,1.018,Annual Cost,$MM/yr,tampa_bay,baseline
137,tri_media_filtration,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
143,tri_media_filtration,Fixed Operating,0.107,Annual Cost,$MM/yr,tampa_bay,baseline
146,tri_media_filtration,Annual O&M Costs,1.126,Annual Cost,$MM/yr,tampa_bay,baseline
147,tri_media_filtration,Inlet Water,2.129,Water Flow,m3/s,tampa_bay,baseline
148,tri_media_filtration,Outlet Water,1.916,Water Flow,m3/s,tampa_bay,baseline
149,tri_media_filtration,Waste Water,0.213,Water Flow,m3/s,tampa_bay,baseline
150,tri_media_filtration,tds,27.162,Inlet Constituent Density,kg/m3,tampa_bay,baseline
151,tri_media_filtration,tds,30.18,Outlet Constituent Density,kg/m3,tampa_bay,baseline
152,tri_media_filtration,tds,0.003,Waste Constituent Density,kg/m3,tampa_bay,baseline
153,tri_media_filtration,tds,57.83,Inlet Constituent Total Mass,kg,tampa_bay,baseline
154,tri_media_filtration,tds,57.83,Outlet Constituent Total Mass,kg,tampa_bay,baseline
155,tri_media_filtration,tds,0.001,Waste Constituent Total Mass,kg,tampa_bay,baseline
156,cartridge_filtration,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
160,cartridge_filtration,Total Capital Investment (TCI),7.585,Cost,$MM,tampa_bay,baseline
161,cartridge_filtration,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
162,cartridge_filtration,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
163,cartridge_filtration,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
169,cartridge_filtration,Fixed Operating,0.101,Annual Cost,$MM/yr,tampa_bay,baseline
172,cartridge_filtration,Annual O&M Costs,0.101,Annual Cost,$MM/yr,tampa_bay,baseline
173,cartridge_filtration,Inlet Water,1.916,Water Flow,m3/s,tampa_bay,baseline
174,cartridge_filtration,Outlet Water,1.916,Water Flow,m3/s,tampa_bay,baseline
175,cartridge_filtration,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
176,cartridge_filtration,tds,30.18,Inlet Constituent Density,kg/m3,tampa_bay,baseline
177,cartridge_filtration,tds,30.183,Outlet Constituent Density,kg/m3,tampa_bay,baseline
178,cartridge_filtration,tds,3.018,Waste Constituent Density,kg/m3,tampa_bay,baseline
179,cartridge_filtration,tds,57.83,Inlet Constituent Total Mass,kg,tampa_bay,baseline
180,cartridge_filtration,tds,57.829,Outlet Constituent Total Mass,kg,tampa_bay,baseline
181,cartridge_filtration,tds,0.001,Waste Constituent Total Mass,kg,tampa_bay,baseline
182,ro_first_pass,Electricity Intensity,4.039,Electricity,kwh/m3,tampa_bay,baseline
186,ro_first_pass,Total Capital Investment (TCI),56.742,Cost,$MM,tampa_bay,baseline
187,ro_first_pass,Catalysts and Chemicals,0.54,Annual Cost,$MM/yr,tampa_bay,baseline
188,ro_first_pass,Electricity,5.47,Annual Cost,$MM/yr,tampa_bay,baseline
189,ro_first_pass,Other Variable Operating,0.352,Annual Cost,$MM/yr,tampa_bay,baseline
195,ro_first_pass,Fixed Operating,0.753,Annual Cost,$MM/yr,tampa_bay,baseline
198,ro_first_pass,Annual O&M Costs,7.114,Annual Cost,$MM/yr,tampa_bay,baseline
199,ro_first_pass,Inlet Water,1.923,Water Flow,m3/s,tampa_bay,baseline
200,ro_first_pass,Outlet Water,1.066,Water Flow,m3/s,tampa_bay,baseline
201,ro_first_pass,Waste Water,0.86,Water Flow,m3/s,tampa_bay,baseline
202,ro_first_pass,tds,30.105,Inlet Constituent Density,kg/m3,tampa_bay,baseline
203,ro_first_pass,tds,0.094,Outlet Constituent Density,kg/m3,tampa_bay,baseline
204,ro_first_pass,tds,67.185,Waste Constituent Density,kg/m3,tampa_bay,baseline
205,ro_first_pass,tds,57.887,Inlet Constituent Total Mass,kg,tampa_bay,baseline
206,ro_first_pass,tds,0.1,Outlet Constituent Total Mass,kg,tampa_bay,baseline
207,ro_first_pass,tds,57.787,Waste Constituent Total Mass,kg,tampa_bay,baseline
208,ro_second_pass,Electricity Intensity,1.119,Electricity,kwh/m3,tampa_bay,baseline
212,ro_second_pass,Total Capital Investment (TCI),12.901,Cost,$MM,tampa_bay,baseline
213,ro_second_pass,Catalysts and Chemicals,0.123,Annual Cost,$MM/yr,tampa_bay,baseline
214,ro_second_pass,Electricity,1.899,Annual Cost,$MM/yr,tampa_bay,baseline
215,ro_second_pass,Other Variable Operating,0.346,Annual Cost,$MM/yr,tampa_bay,baseline
221,ro_second_pass,Fixed Operating,0.171,Annual Cost,$MM/yr,tampa_bay,baseline
224,ro_second_pass,Annual O&M Costs,2.538,Annual Cost,$MM/yr,tampa_bay,baseline
225,ro_second_pass,Inlet Water,0.714,Water Flow,m3/s,tampa_bay,baseline
226,ro_second_pass,Outlet Water,0.709,Water Flow,m3/s,tampa_bay,baseline
227,ro_second_pass,Waste Water,0.007,Water Flow,m3/s,tampa_bay,baseline
228,ro_second_pass,tds,0.094,Inlet Constituent Density,kg/m3,tampa_bay,baseline
229,ro_second_pass,tds,0.012,Outlet Constituent Density,kg/m3,tampa_bay,baseline
230,ro_second_pass,tds,8.442,Waste Constituent Density,kg/m3,tampa_bay,baseline
231,ro_second_pass,tds,0.067,Inlet Constituent Total Mass,kg,tampa_bay,baseline
232,ro_second_pass,tds,0.009,Outlet Constituent Total Mass,kg,tampa_bay,baseline
233,ro_second_pass,tds,0.058,Waste Constituent Total Mass,kg,tampa_bay,baseline
234,lime_softening,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
238,lime_softening,Total Capital Investment (TCI),30.646,Cost,$MM,tampa_bay,baseline
239,lime_softening,Catalysts and Chemicals,0.347,Annual Cost,$MM/yr,tampa_bay,baseline
240,lime_softening,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
241,lime_softening,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
247,lime_softening,Fixed Operating,0.407,Annual Cost,$MM/yr,tampa_bay,baseline
250,lime_softening,Annual O&M Costs,0.753,Annual Cost,$MM/yr,tampa_bay,baseline
251,lime_softening,Inlet Water,1.061,Water Flow,m3/s,tampa_bay,baseline
252,lime_softening,Outlet Water,1.061,Water Flow,m3/s,tampa_bay,baseline
253,lime_softening,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
254,lime_softening,tds,0.039,Inlet Constituent Density,kg/m3,tampa_bay,baseline
255,lime_softening,tds,0.039,Outlet Constituent Density,kg/m3,tampa_bay,baseline
256,lime_softening,tds,0.004,Waste Constituent Density,kg/m3,tampa_bay,baseline
257,lime_softening,tds,0.042,Inlet Constituent Total Mass,kg,tampa_bay,baseline
258,lime_softening,tds,0.042,Outlet Constituent Total Mass,kg,tampa_bay,baseline
259,lime_softening,tds,0.0,Waste Constituent Total Mass,kg,tampa_bay,baseline
260,chlorination_b,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
264,chlorination_b,Total Capital Investment (TCI),7.677,Cost,$MM,tampa_bay,baseline
265,chlorination_b,Catalysts and Chemicals,0.118,Annual Cost,$MM/yr,tampa_bay,baseline
266,chlorination_b,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
267,chlorination_b,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
273,chlorination_b,Fixed Operating,0.102,Annual Cost,$MM/yr,tampa_bay,baseline
276,chlorination_b,Annual O&M Costs,0.221,Annual Cost,$MM/yr,tampa_bay,baseline
277,chlorination_b,Inlet Water,1.061,Water Flow,m3/s,tampa_bay,baseline
278,chlorination_b,Outlet Water,1.061,Water Flow,m3/s,tampa_bay,baseline
279,chlorination_b,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
280,chlorination_b,tds,0.039,Inlet Constituent Density,kg/m3,tampa_bay,baseline
281,chlorination_b,tds,0.039,Outlet Constituent Density,kg/m3,tampa_bay,baseline
282,chlorination_b,tds,0.004,Waste Constituent Density,kg/m3,tampa_bay,baseline
283,chlorination_b,tds,0.042,Inlet Constituent Total Mass,kg,tampa_bay,baseline
284,chlorination_b,tds,0.042,Outlet Constituent Total Mass,kg,tampa_bay,baseline
285,chlorination_b,tds,0.0,Waste Constituent Total Mass,kg,tampa_bay,baseline
286,caustic_soda_addition,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
290,caustic_soda_addition,Total Capital Investment (TCI),1.341,Cost,$MM,tampa_bay,baseline
291,caustic_soda_addition,Catalysts and Chemicals,0.16,Annual Cost,$MM/yr,tampa_bay,baseline
292,caustic_soda_addition,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
293,caustic_soda_addition,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
299,caustic_soda_addition,Fixed Operating,0.018,Annual Cost,$MM/yr,tampa_bay,baseline
302,caustic_soda_addition,Annual O&M Costs,0.178,Annual Cost,$MM/yr,tampa_bay,baseline
303,caustic_soda_addition,Inlet Water,1.061,Water Flow,m3/s,tampa_bay,baseline
304,caustic_soda_addition,Outlet Water,1.061,Water Flow,m3/s,tampa_bay,baseline
305,caustic_soda_addition,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
306,caustic_soda_addition,tds,0.039,Inlet Constituent Density,kg/m3,tampa_bay,baseline
307,caustic_soda_addition,tds,0.039,Outlet Constituent Density,kg/m3,tampa_bay,baseline
308,caustic_soda_addition,tds,0.004,Waste Constituent Density,kg/m3,tampa_bay,baseline
309,caustic_soda_addition,tds,0.042,Inlet Constituent Total Mass,kg,tampa_bay,baseline
310,caustic_soda_addition,tds,0.042,Outlet Constituent Total Mass,kg,tampa_bay,baseline
311,caustic_soda_addition,tds,0.0,Waste Constituent Total Mass,kg,tampa_bay,baseline
312,ammonia_addition,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
316,ammonia_addition,Total Capital Investment (TCI),0.604,Cost,$MM,tampa_bay,baseline
317,ammonia_addition,Catalysts and Chemicals,0.115,Annual Cost,$MM/yr,tampa_bay,baseline
318,ammonia_addition,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
319,ammonia_addition,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
325,ammonia_addition,Fixed Operating,0.008,Annual Cost,$MM/yr,tampa_bay,baseline
328,ammonia_addition,Annual O&M Costs,0.123,Annual Cost,$MM/yr,tampa_bay,baseline
329,ammonia_addition,Inlet Water,1.061,Water Flow,m3/s,tampa_bay,baseline
330,ammonia_addition,Outlet Water,1.06,Water Flow,m3/s,tampa_bay,baseline
331,ammonia_addition,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
332,ammonia_addition,tds,0.039,Inlet Constituent Density,kg/m3,tampa_bay,baseline
333,ammonia_addition,tds,0.039,Outlet Constituent Density,kg/m3,tampa_bay,baseline
334,ammonia_addition,tds,0.004,Waste Constituent Density,kg/m3,tampa_bay,baseline
335,ammonia_addition,tds,0.042,Inlet Constituent Total Mass,kg,tampa_bay,baseline
336,ammonia_addition,tds,0.042,Outlet Constituent Total Mass,kg,tampa_bay,baseline
337,ammonia_addition,tds,0.0,Waste Constituent Total Mass,kg,tampa_bay,baseline
338,treated_storage,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
342,treated_storage,Total Capital Investment (TCI),7.951,Cost,$MM,tampa_bay,baseline
343,treated_storage,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
344,treated_storage,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
345,treated_storage,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
351,treated_storage,Fixed Operating,0.105,Annual Cost,$MM/yr,tampa_bay,baseline
354,treated_storage,Annual O&M Costs,0.105,Annual Cost,$MM/yr,tampa_bay,baseline
355,treated_storage,Inlet Water,1.06,Water Flow,m3/s,tampa_bay,baseline
356,treated_storage,Outlet Water,1.06,Water Flow,m3/s,tampa_bay,baseline
357,treated_storage,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
358,treated_storage,tds,0.039,Inlet Constituent Density,kg/m3,tampa_bay,baseline
359,treated_storage,tds,0.039,Outlet Constituent Density,kg/m3,tampa_bay,baseline
360,treated_storage,tds,0.004,Waste Constituent Density,kg/m3,tampa_bay,baseline
361,treated_storage,tds,0.042,Inlet Constituent Total Mass,kg,tampa_bay,baseline
362,treated_storage,tds,0.042,Outlet Constituent Total Mass,kg,tampa_bay,baseline
363,treated_storage,tds,0.0,Waste Constituent Total Mass,kg,tampa_bay,baseline
364,backwash_solids_handling,Electricity Intensity,0.102,Electricity,kwh/m3,tampa_bay,baseline
368,backwash_solids_handling,Total Capital Investment (TCI),6.285,Cost,$MM,tampa_bay,baseline
369,backwash_solids_handling,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
370,backwash_solids_handling,Electricity,0.053,Annual Cost,$MM/yr,tampa_bay,baseline
371,backwash_solids_handling,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
377,backwash_solids_handling,Fixed Operating,0.084,Annual Cost,$MM/yr,tampa_bay,baseline
380,backwash_solids_handling,Annual O&M Costs,0.136,Annual Cost,$MM/yr,tampa_bay,baseline
381,backwash_solids_handling,Inlet Water,0.213,Water Flow,m3/s,tampa_bay,baseline
382,backwash_solids_handling,Outlet Water,0.202,Water Flow,m3/s,tampa_bay,baseline
383,backwash_solids_handling,Waste Water,0.011,Water Flow,m3/s,tampa_bay,baseline
384,backwash_solids_handling,tds,0.003,Inlet Constituent Density,kg/m3,tampa_bay,baseline
385,backwash_solids_handling,tds,0.003,Outlet Constituent Density,kg/m3,tampa_bay,baseline
386,backwash_solids_handling,tds,0.0,Waste Constituent Density,kg/m3,tampa_bay,baseline
387,backwash_solids_handling,tds,0.001,Inlet Constituent Total Mass,kg,tampa_bay,baseline
388,backwash_solids_handling,tds,0.001,Outlet Constituent Total Mass,kg,tampa_bay,baseline
389,backwash_solids_handling,tds,0.0,Waste Constituent Total Mass,kg,tampa_bay,baseline
390,municipal_drinking,Electricity Intensity,0.307,Electricity,kwh/m3,tampa_bay,baseline
394,municipal_drinking,Total Capital Investment (TCI),2.273,Cost,$MM,tampa_bay,baseline
395,municipal_drinking,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
396,municipal_drinking,Electricity,0.786,Annual Cost,$MM/yr,tampa_bay,baseline
397,municipal_drinking,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
403,municipal_drinking,Fixed Operating,0.03,Annual Cost,$MM/yr,tampa_bay,baseline
406,municipal_drinking,Annual O&M Costs,0.817,Annual Cost,$MM/yr,tampa_bay,baseline
407,municipal_drinking,Inlet Water,1.06,Water Flow,m3/s,tampa_bay,baseline
408,municipal_drinking,Outlet Water,1.06,Water Flow,m3/s,tampa_bay,baseline
409,municipal_drinking,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
410,municipal_drinking,tds,0.039,Inlet Constituent Density,kg/m3,tampa_bay,baseline
411,municipal_drinking,tds,0.039,Outlet Constituent Density,kg/m3,tampa_bay,baseline
412,municipal_drinking,tds,0.004,Waste Constituent Density,kg/m3,tampa_bay,baseline
413,municipal_drinking,tds,0.042,Inlet Constituent Total Mass,kg,tampa_bay,baseline
414,municipal_drinking,tds,0.042,Outlet Constituent Total Mass,kg,tampa_bay,baseline
415,municipal_drinking,tds,0.0,Waste Constituent Total Mass,kg,tampa_bay,baseline
416,surface_discharge,Electricity Intensity,0.102,Electricity,kwh/m3,tampa_bay,baseline
420,surface_discharge,Total Capital Investment (TCI),13.365,Cost,$MM,tampa_bay,baseline
421,surface_discharge,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
422,surface_discharge,Electricity,0.216,Annual Cost,$MM/yr,tampa_bay,baseline
423,surface_discharge,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
429,surface_discharge,Fixed Operating,0.177,Annual Cost,$MM/yr,tampa_bay,baseline
432,surface_discharge,Annual O&M Costs,0.393,Annual Cost,$MM/yr,tampa_bay,baseline
433,surface_discharge,Inlet Water,0.872,Water Flow,m3/s,tampa_bay,baseline
434,surface_discharge,Outlet Water,0.872,Water Flow,m3/s,tampa_bay,baseline
435,surface_discharge,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
436,surface_discharge,tds,66.253,Inlet Constituent Density,kg/m3,tampa_bay,baseline
437,surface_discharge,tds,66.259,Outlet Constituent Density,kg/m3,tampa_bay,baseline
438,surface_discharge,tds,6.625,Waste Constituent Density,kg/m3,tampa_bay,baseline
439,surface_discharge,tds,57.79,Inlet Constituent Total Mass,kg,tampa_bay,baseline
440,surface_discharge,tds,57.79,Outlet Constituent Total Mass,kg,tampa_bay,baseline
441,surface_discharge,tds,0.001,Waste Constituent Total Mass,kg,tampa_bay,baseline
442,System,System Total Capital Investment (TCI),178.221,Cost,$MM,tampa_bay,baseline
443,System,System Catalysts and Chemicals,65.505,Cost,$MM,tampa_bay,baseline
444,System,System Electricity,198.369,Cost,$MM,tampa_bay,baseline
448,System,System Catalysts and Chemicals,3.275,Annual Cost,$MM/yr,tampa_bay,baseline
449,System,System Electricity,9.918,Annual Cost,$MM/yr,tampa_bay,baseline
452,System,System Total Operating Cost,16.257,Annual Cost,$MM/yr,tampa_bay,baseline
453,System,System Levelized Cost,1.219,LCOW,$/m3,tampa_bay,baseline
454,System,Electricity Intensity,3.878,Electricity,kwh/m3,tampa_bay,baseline
455,System,Water Recovery,55.0,Water Recovery,%,tampa_bay,baseline
0,sw_onshore_intake,Electricity Intensity,0.102,Electricity,kwh/m3,santa_barbara,baseline
4,sw_onshore_intake,Total Capital Investment (TCI),2.009,Cost,$MM,santa_barbara,baseline
5,sw_onshore_intake,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
6,sw_onshore_intake,Electricity,0.134,Annual Cost,$MM/yr,santa_barbara,baseline
7,sw_onshore_intake,Other Variable Operating,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
13,sw_onshore_intake,Fixed Operating,0.027,Annual Cost,$MM/yr,santa_barbara,baseline
16,sw_onshore_intake,Annual O&M Costs,0.161,Annual Cost,$MM/yr,santa_barbara,baseline
17,sw_onshore_intake,Inlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
18,sw_onshore_intake,Outlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
19,sw_onshore_intake,Waste Water,0.0,Water Flow,m3/s,santa_barbara,baseline
20,sw_onshore_intake,bromide,0.066,Inlet Constituent Density,kg/m3,santa_barbara,baseline
21,sw_onshore_intake,bromide,0.066,Outlet Constituent Density,kg/m3,santa_barbara,baseline
22,sw_onshore_intake,bromide,0.007,Waste Constituent Density,kg/m3,santa_barbara,baseline
23,sw_onshore_intake,bromide,0.02,Inlet Constituent Total Mass,kg,santa_barbara,baseline
24,sw_onshore_intake,bromide,0.02,Outlet Constituent Total Mass,kg,santa_barbara,baseline
25,sw_onshore_intake,bromide,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
26,sw_onshore_intake,calcium,0.41,Inlet Constituent Density,kg/m3,santa_barbara,baseline
27,sw_onshore_intake,calcium,0.41,Outlet Constituent Density,kg/m3,santa_barbara,baseline
28,sw_onshore_intake,calcium,0.041,Waste Constituent Density,kg/m3,santa_barbara,baseline
29,sw_onshore_intake,calcium,0.127,Inlet Constituent Total Mass,kg,santa_barbara,baseline
30,sw_onshore_intake,calcium,0.127,Outlet Constituent Total Mass,kg,santa_barbara,baseline
31,sw_onshore_intake,calcium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
32,sw_onshore_intake,chloride,19.162,Inlet Constituent Density,kg/m3,santa_barbara,baseline
33,sw_onshore_intake,chloride,19.164,Outlet Constituent Density,kg/m3,santa_barbara,baseline
