,Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
0,sw_onshore_intake,Electricity Intensity,0.102,Electricity,kwh/m3,tampa_bay,baseline
4,sw_onshore_intake,Total Capital Investment (TCI),10.217,Cost,$MM,tampa_bay,baseline
5,sw_onshore_intake,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
6,sw_onshore_intake,Electricity,0.477,Annual Cost,$MM/yr,tampa_bay,baseline
7,sw_onshore_intake,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
13,sw_onshore_intake,Fixed Operating,0.136,Annual Cost,$MM/yr,tampa_bay,baseline
16,sw_onshore_intake,Annual O&M Costs,0.612,Annual Cost,$MM/yr,tampa_bay,baseline
17,sw_onshore_intake,Inlet Water,1.928,Water Flow,m3/s,tampa_bay,baseline
18,sw_onshore_intake,Outlet Water,1.928,Water Flow,m3/s,tampa_bay,baseline
19,sw_onshore_intake,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
20,sw_onshore_intake,tds,30.0,Inlet Constituent Density,kg/m3,tampa_bay,baseline
21,sw_onshore_intake,tds,30.003,Outlet Constituent Density,kg/m3,tampa_bay,baseline
22,sw_onshore_intake,tds,3.0,Waste Constituent Density,kg/m3,tampa_bay,baseline
23,sw_onshore_intake,tds,57.832,Inlet Constituent Total Mass,kg,tampa_bay,baseline
24,sw_onshore_intake,tds,57.832,Outlet Constituent Total Mass,kg,tampa_bay,baseline
25,sw_onshore_intake,tds,0.001,Waste Constituent Total Mass,kg,tampa_bay,baseline
26,sulfuric_acid_addition,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
30,sulfuric_acid_addition,Total Capital Investment (TCI),0.231,Cost,$MM,tampa_bay,baseline
31,sulfuric_acid_addition,Catalysts and Chemicals,0.106,Annual Cost,$MM/yr,tampa_bay,baseline
32,sulfuric_acid_addition,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
33,sulfuric_acid_addition,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
39,sulfuric_acid_addition,Fixed Operating,0.003,Annual Cost,$MM/yr,tampa_bay,baseline
42,sulfuric_acid_addition,Annual O&M Costs,0.109,Annual Cost,$MM/yr,tampa_bay,baseline
43,sulfuric_acid_addition,Inlet Water,1.928,Water Flow,m3/s,tampa_bay,baseline
44,sulfuric_acid_addition,Outlet Water,1.927,Water Flow,m3/s,tampa_bay,baseline
45,sulfuric_acid_addition,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
46,sulfuric_acid_addition,tds,30.003,Inlet Constituent Density,kg/m3,tampa_bay,baseline
47,sulfuric_acid_addition,tds,30.005,Outlet Constituent Density,kg/m3,tampa_bay,baseline
48,sulfuric_acid_addition,tds,3.0,Waste Constituent Density,kg/m3,tampa_bay,baseline
49,sulfuric_acid_addition,tds,57.832,Inlet Constituent Total Mass,kg,tampa_bay,baseline
50,sulfuric_acid_addition,tds,57.831,Outlet Constituent Total Mass,kg,tampa_bay,baseline
51,sulfuric_acid_addition,tds,0.001,Waste Constituent Total Mass,kg,tampa_bay,baseline
52,ferric_chloride_addition,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
56,ferric_chloride_addition,Total Capital Investment (TCI),2.954,Cost,$MM,tampa_bay,baseline
57,ferric_chloride_addition,Catalysts and Chemicals,1.552,Annual Cost,$MM/yr,tampa_bay,baseline
58,ferric_chloride_addition,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
59,ferric_chloride_addition,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
65,ferric_chloride_addition,Fixed Operating,0.039,Annual Cost,$MM/yr,tampa_bay,baseline
68,ferric_chloride_addition,Annual O&M Costs,1.591,Annual Cost,$MM/yr,tampa_bay,baseline
69,ferric_chloride_addition,Inlet Water,1.927,Water Flow,m3/s,tampa_bay,baseline
70,ferric_chloride_addition,Outlet Water,1.927,Water Flow,m3/s,tampa_bay,baseline
71,ferric_chloride_addition,Waste Water,0.0,Water Flow,m3/s,tampa_bay,baseline
72,ferric_chloride_addition,tds,30.005,Inlet Constituent Density,kg/m3,tampa_bay,baseline
73,ferric_chloride_addition,tds,30.008,Outlet Constituent Density,kg/m3,tampa_bay,baseline
74,ferric_chloride_addition,tds,3.001,Waste Constituent Density,kg/m3,tampa_bay,baseline
75,ferric_chloride_addition,tds,57.831,Inlet Constituent Total Mass,kg,tampa_bay,baseline
76,ferric_chloride_addition,tds,57.831,Outlet Constituent Total Mass,kg,tampa_bay,baseline
77,ferric_chloride_addition,tds,0.001,Waste Constituent Total Mass,kg,tampa_bay,baseline
78,chlorination,Electricity Intensity,0.0,Electricity,kwh/m3,tampa_bay,baseline
82,chlorination,Total Capital Investment (TCI),9.266,Cost,$MM,tampa_bay,baseline
83,chlorination,Catalysts and Chemicals,0.215,Annual Cost,$MM/yr,tampa_bay,baseline
84,chlorination,Electricity,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
85,chlorination,Other Variable Operating,0.0,Annual Cost,$MM/yr,tampa_bay,baseline
